Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
75,56,61,22,35,64,91,21,24,28
99,20,52,63,82,24,55,98,82,48
25,87,35,10,25,69,25,22,5,26
59,46,30,32,65,31, ,19,28,17
54, ,79, ,1,53,86,47,87,68
94,97,13,68,95,62,86,68,95,92
10,85,86,34,94,5,84,64,92,31
30, ,16,68,5,53, , , ,26
 ,60,16,65,46, ,44,3,48,69
50,18,84,63,66,77,48,53,15,72
62,91,2,83,28,99,31,89,54,4
16,14,80,71,83,16,85,54,3, 
31,38,22,0,11,43,70,46,5,6
98,18,36,99, ,36,61,0,50,71
 ,25,0,59,30,61,66,88,5, 
 ,48,41,1,11,19,44,36,42,66
84,67,33,6,18,46,16, ,57,71
17,44,89,22,96,26,44,65,56, 
 ,17,24,25,17,25,8, ,53, 
7,84,11,1,33,47,66,69,54,30
13,63,37,82,25,95,64,37,90, 
23,79,72, ,55,77,59,34,30,95
43,25,54,18, ,8,97,37, ,10
29,79,52,98,62,59,42,79, ,34
59,23,57,0,97,6,76,77,25,82
78,72,54,15,17,81,76,45,25,30
 ,36, ,8,54,14, ,93,19,3
 ,26,96,89,12,7,81,61,73,44
80,15,35,89,81,86,65,89,20, 
32,41,96,32,51,14,95,49,48,79
93,18,63, ,25,38,85,0,49,88
30,34, ,47,88,24,27,66,88,78
55,85,16, ,72,94,7,63,88,89
49,26,13,83,32,39,69,65,86,0
92,19,20,42,43,11,18,9, ,93
15,32, ,2,62,66,48,58,60,50
88,35,86,38,86,89,36,11,73,94
4,98, ,57,81,70,25,20,50,63
60,35,20,51,5,48,70,40,30,43
34,96, ,16,27,47,51,10, ,42
5,10,90,63,4, ,47,61,3,37
4, ,51, , ,51,34,98,42,94
89,63,52,40,52,62, ,83,5,29
 , ,96,46,10,33, ,66, ,29
90,42,72,12,82, ,87, ,33,64
61,20,98,90,21,18,0,71,59,85
88,68,55,64,8,18,39,40,93, 
14, ,64,44,71,79,75, ,44,80
44,11,86,12, , ,18,66,81,97
46,82, ,39,81,70, ,73, ,85
99, ,24,40,39,74,8,31,5,5
53,98,1,62,65, ,44,26,98,74
52,16,90,3,93,51,71,9,83,51
35,19,0,14,59,40,70,83,44,6
5,48,40,65,27,83,42,42,48,41
45,19,37,77,91,19, ,68,82,39
53,89,98,58,41, ,49,64,77,72
84,39,60,72,63,72,52,60,26,28
95,50,5,14,17,37, ,77,9,78
22, ,92,44,0,6, ,2,89,77
61,21,98,97,29, , ,51,85,49
 ,2,83,45,11,13, ,18,56,67
63,30,72,0,20, ,69,3, ,87
65,92,24,79,70,82,91,3,38,85
0,26,75,95, ,83,14,21,19,77
43,44,4,85,28,11,61,94,92,49
73,68,27,86,62,8,77,87,43,9
34,40,38,49,59, ,33, ,21,28
6,71,95,68,32,55,84,62, ,1
35,19,2,64,73, ,81,59,45,3
38,25,77,83,34,41,4,13,75,3
40,86,57,75,1, ,39,42,92,17
85,74,91,93,23,32, ,59, ,16
96,74,36,89,48,30,14,52,96,36
73,49,1,64,71,2,1,42,91,15
14,5,61, ,57, ,47, , ,81
46,45,27,85,24,66,60,56,27,3
21,47,74, ,89,80,38,50,54,41
23,49,30,96,59,9, ,29,3,90
93,83,20,49,65,17,70,99,18,6
90,33,45,35,67,52, ,35,27,9
12,21,27,60,27,45,81,85,56,56
16,57,89,37,39,21, , ,12,52
 ,80,14,46,17,81,23,82,44,94
97,76,33,47,41,28,48,79,40,89
92,24,58,20,67,39,26,10,44,35
36,1, ,80,14,39,97,97,68, 
71,48, ,74,48,71,70,42,59,7
78,45,94,27, ,96, ,67,38,6
5, , ,60,35,52,32,34,82,27
22,68, ,64,19,7,39,3,68,54
15,38,90,44,80, ,57,85, ,37
95,22,55,24,56,38,79, ,17,60
8,96,90,79,78,13, ,70,4,54
84,23, , , , ,20,52,50,31
5,62,64,94,70,24, ,79,76,27
12,78,50,57,71,18, ,3,57,85
0,18, ,10,35,94, ,7,66,43
68,57,48,16,29,18,27,70, ,1
48,43,99,49,97,36,30,42,14,86
83,84,89,69,47,91,7,38, ,88
65,36,80,92,18,37,31,69,88,99
20,15,76,54,18,83,93,34,23,23
73,26,60,35,68,72,4,4, ,58
58,47,95, ,68,3,33,53,82,55
62,51,12,23,36,75,21,49,72, 
40,43,42,86,2,57,62,71,93,21
64,85,5,15,35,9,41,9,73,86
95,96,24,56,94,28,61, ,67,39
11,46,14,96,74,84,88,46,53,3
8,99,42,92,89,46,4,87,93, 
67,1, ,30, ,83,13, ,94,56
67,45, ,91, ,84,4,27,45,24
67,28, ,7,92,85,52,14,67,82
27,43,72,99,66,19, ,74,48,65
4,26,14,64,16,98,62, ,33,40
34,35,35,28,55,59,44,22,36,59
88,51,57,82,56, ,91,60,65,74
 ,14,18,41,54, ,14,1,82,67
 ,58,71,48,43,66,68,32,45,42
 ,97,5,95, ,78,89, ,48,90
83,75,58,45,19,29,71,62,79,81
73,53,93,64,67, ,50,49,5,73
55,18,74,87,14, , ,28,43,21
38,42,37,41,20,23,37,96,3,90
14,45,93,68,46,12,53,79,46,78
68,61,79,61,28,73,55,82, ,50
38,98,94,3,99,63,92,28,43, 
26,10,57,18,15,90,48,1,25,75
54, ,21,38,90,35,9,60,6,27
42,37,86,45,94,35,53,79,28,24
1, , ,9,20,55,62,85,42,69
32,87,69,3,16,68,51,0,80,49
25,48,2, ,45, ,33,22,6,61
41,42,19,80,13,29,61, ,9,70
33, ,91, ,14,96,31,48,49,28
39,57, ,20,32, ,76,14,75,2
55,93,23,58, ,8, ,52,12,70
30,23,2,78, ,53,12,38, ,89
96, ,31,55,9,8,95,50,21,29
48, ,2,45,68,50,26,6,78,6
73,82,28,44,3,85,62,58,62,44
77,88,43,55,57,96,95,24, ,68
63,65,45,46,60, , ,28,79,93
88, ,51,63, ,87,51,50,38,3
13,94,0,64,0, ,94, ,9,0
15,13,17,59,80,83,81,33, ,34
34,25,24,98,29,74, , ,65,39
28,10,90,8, ,83,62,90,34,50
69,83,99,86,0,60,84,42,57,19
65,99, ,90,46,4,29,84,27,35
20, , ,76,93,33,7,95,76, 
66,69,82, ,10,4, ,40,94,96
8,40,5,2,66,59,35,67, ,49
7,29,99,52,99,83,92,86, ,57
44,3,15,29,43, ,18,93,1,52
80,39,98,20,19,42,26,14,82,58
97,99,29, ,31, ,85,69,31,56
52, , ,86,63,88,54,12, , 
67,4,48,48, ,18,89,15,39,73
78,99,21,33,57,57,51,73,24,32
22,18,37, ,76,25,3,11,80,16
14,8,52,58,7,67,45,85,55,8
44,45,93,31,13,23,48,12,15,36
93, ,38,75,78,4,39,56,32,19
26,29,16,68,77,55,33,91,82,67
61,73,11,88,43,50,76,25,42,11
33,21,26, ,8,6,41,43,90,31
 ,40,86,64,9,5,26,87,5,60
23,50,81,36,20,56,26,39, ,3
22,31,36, ,83,46,19,83,63,99
89,10,74,42,50,17,78,6,64,54
52,92,70, ,33,42,31, ,76,81
51,74,7,97,74,91,9,30,15,77
34,0,49,12,99,45,25,20,71,48
78,75,83,90,7,57,86, ,36, 
 , ,17,71,28,77,8,47,64,76
28,47,34,77,62,57,12,2, ,73
59,51,74,7,41,38,58,37,39,72
4,18,73,89,70,77,28,90,4,64
27,35,7,80,15,8,14,6,67,91
58,68,97,90, ,55,83,84, ,57
13,2,92,49, ,17,95,53,24,62
30, , ,13,43,92,55,23,45,21
94,65,14,68,26,7,76,52,24,39
64,78,74,49,46,80,90,54,8,71
15,22, ,75,42,46,6,89,52,75
37, ,79,98,40,56,41,92,63,39
53,17, ,95,13, ,89,83,70,71
97,76,24,25,80,27,59,1,46,72
2,46,38,27,92,78,11,43,71,52
58, ,18,73,7,67,64,54,25,83
76,12, ,66,29,80, ,39,62,24
53,98,40,7,18,79,67,84,23,47
7,14,75,51,11,73,8,85,34,43
26,55,78,75, ,22,25,50,82,66
16, ,81,65,99,60,53,65,82,49
45,80,92,32,70,73,53,83,66,2
49,8,51,12,17,91,29,44, ,76
29,3,67, ,3,53,52,69,6,34
 ,51,45,10,58,76,63,48,26,87
19,83,26,94,92,20,69,91, ,2
44,9,98,27,41,53,62,54,53,82
32,60,66, ,82,38,63,23,72,70
80,91,76,6,72,47,79,73,11,59
25,8,72,31,71,83,16,4,94,57
 ,4,38,51,61,21,83, ,72,95
 ,67,20,22,23,89,72,92,35, 
 ,92,44,44,34, ,27,4,70, 
89,79,47, ,20,41,61,25,65,92
58,15,21,69, ,40, ,29,70,15
91,66,34,5,75,73,51,89,98,8
36,8,4,41,81,15,93,7,9,86
83,52,93,0,53,60,23,63,7,3
 ,19,55,70,10,69,66,47,23,2
 ,11,33,46,62,0,44,86,17, 
0,62,92,0,30,30,40,43,6,63
41,3, ,65, ,83,49,79,54,40
12,78,3,15,35,25, , , ,26
80,67,76,0,28,14,52, ,24,54
65,74,90,1,66,41, ,33,50,57
71,62,86, ,98,2,67,23,69,42
28,89,49,3,39,15,85, ,71,68
86,27,76,63, ,77,36,70, ,20
79,54, ,44,94,50,65,69,4, 
99,70,49,1,3,31,42,1,5,40
89,34,3,41,15,29,22, ,72,82
34,60,52,59,77,89,43,96, ,7
9,6,37,37,2,99,3,91,61,20
41,0,17,99,59,89,29,6,25,84
13,58,94,77,14,66,72, ,90,57
55,12,94,31,34,45,88,21,23,82
86,46,53,0,10,66,23,90, ,21
23,22,85,6,76,73,65,2,7,7
 ,65,93,97,6,4,9, ,94,59
78,80, ,45,94,14,59,38,83,14
15,67,4,22,70,70,88,52,98,47
51,3,27,36,74,92,71,11, ,33
6,57,32,32, ,30,54,82, ,10
29,75,14,51,77,10,14,55,96,36
60,59,54,62,33,13,93,43,55,82
22,44,9,10,88,34,46,28,34,12
63,32,15, ,70,48,93,48,50,40
37,90,34, ,34,6, ,70,19,88
93,66,63, ,11,33,31,98,79,53
99,82,35,76,90,98,98,51,21,23
1,93,47, ,26, ,90,92, ,28
57,33,36,59,70,15,23, ,80,14
33, ,8,45, ,18, ,61,29,82
 ,41,84, ,65,26,45,62,0,28
98, ,61,58,54,83, ,50,5,47
89,11,60,83,31,51,94,34, ,27
64,27,30,98,95,41,99,54,14, 
 , , ,88,76,38, ,66,14,37
78,60,24,13,70,21,82,83,77,8
42, ,6,87,11,55,13,34,8,0
75,96,49,43,8,78,51,12, ,99
 ,35,6,14,35,46,98,3, , 
25,22,33,25,26,42,38,81,48,22
29,86,93,96,79,50,2,39,74,20
3,48,80,15,18,92,96,23,63,87
99,47,10,37,53,85,22,99,64, 
82,25,48, ,38,75, ,74,56,74
14,97,45,95,53,43,30,20,56,60
8,87,36,97,38,37,31,26,89,56
20,10,25,7,1,93,95,43,42,25
 ,63,45,61,87,78,4,40,2, 
84,31,83,58,58,68, ,82,17,44
51,63,62,7,23,75,95,18,33,32
3,29,16,34,40,14, ,77,73,29
 , ,52,35, ,8,20,95,74,12
36,25,26,68,17,12,18,31,42,93
 ,2,82,74, ,99,8,66,12,74
 ,91,45,89,85,76,41,35,0,86
 ,4,45,10,47,5,3,13,82,63
53,94,53,63,16,84,7,65,1, 
48,70,1,83,91,39, ,51,31,19
2,76,26,75,37,67,25,73,66, 
43, ,83,34,85,40,60,39,30,21
 ,59,24,8,35,56,81,90,82,45
57,58,72,1,32,31,25,21,52,40
32,4,97,25,66,97,82,86,57,64
55,27,85,31,77,25,68,25,24,45
 ,43, ,99,58,90,46,18,27,23
41,31, ,0,36,22,12,9,30,55
72,23,59,13,98,57,58,88,70,24
55,95,61,23, , ,25,91,85,18
85,15,74,1,0,52,80,72,75, 
99,97,50,70, ,21,72,34,50,62
71,24,88,32,79,94,7,57,70,56
18,87,84,78,31,87,3,27,16,52
68,55,65,62, ,18, ,96,67,16
16,86,50,15,81,38,27,80,82, 
45,53, ,29,82,42,42,46,62,17
74,9,33,19,19,59,47,68,30,72
95,12,73,65,56,13,83,44,59,30
66,94,31,25,62,76, ,89,86,60
 , ,35,28, ,44,44,98,64,23
57,58,46, ,59,71,72,67,77,13
62,49, ,24,47,73, ,30,43,67
26,2, ,74,40,7,65,6,62,96
68,76,15,72,5,2,48,87,2,76
13,86,95,37,80, ,48,21, ,82
 ,88,31,34,59,63,57,35,91,36
52,64,39,63,4, ,67,31,15,88
64,40,27,21, ,36,22,99,75,0
98, ,41,80,26,76,73,85,26,59
80,85,19,84,50,6,20, , ,84
34,64,25,51,50,23,27,6,89,88
32,96,29,50,79, ,13,48,71,76
36,5,82,53,98,83,11,68,52,0
64,51,80,2,85, ,21,38,16,21
45,96,13,85,71,64,34,91,80,15
76,65,27,66,51,56,89,13,71,66
69,81,31,17,63,44,26,38,13,97
93,60,5,86,73,20,84,48,75,28
98,79,82,77,22,59,28,98,94,12
38,11,34,39,25,48,40,48,45,18
1, ,29,82,92, ,60,8,28,32
53,36,82,30,0,57,44,96,88,11
86,29,85,18,81,82,9,36,95,23
 ,80,87,11,27,27,91,9,92,56
28,88,18,0, ,67,98,13,97,24
80,42,21,69,42,16,45, ,8,44
 ,47,86, ,0,84, ,98,12,92
89,92,78, ,24, ,32,62,28,17
55,14,87,97,0,26,43, ,36,34
29,78,91,10,82,50,74,11,42,86
78,54,39,27,20,22,19,97,55,43
26,34,48,90,24,18,72,74,44,88
62,14,12,92,19,5,29, ,78,37
10,86,86,87,4,87,51,83,11,25
 ,62,60,25,70,46,21,24,46,21
88,33,61,41,44,20,52, , ,74
21,45,82, ,7,74,22,79,54,94
79,31,9,69,62,65, , ,41,93
99, ,74,32,71,49,59,88,68,57
75,85,14,62,22,17,33,40,9,3
37,90,89,45,85,80,50, ,65,80
70,7,48,41,35,60,51,7,4,93
72,43,46,51,57,1,46,29,34,52
86,85,27,86,80, ,52,37,22,36
3,35,14,61, ,33,47,76,57,26
35,24,59,67,22,82,17,92,65,11
14,37,65,95,18, ,54,90,88,51
13,15,82,62, ,98,6,89,75,58
77,91,31,34,8,66,38, ,8,24
47,69, ,83, ,58,64,11,21,72
90,50,54,54,50,0,34,29,38,87
96,53,75,1,20,37,61,26,80,1
43,4,49,81,25,7,14,82,25,86
58,57,11,35,64,22,39,84,61,78
34,8,46,39,76,18,49,56,59,52
29,31,1,58,81,50,21,65,51,40
30, ,79,19,95,93,40,50,69,67
47,83, ,42,93,34,21,93,44,4
24,77,56,93,15,33,8,31,62,1
67,90,0,73, , ,29,93, ,50
73, ,34,17,86,14,24,5,52, 
52,54,92, ,28,34,76,82,57,41
59,25, ,49,81,42,21,57,92,8
78,54,11,70,99,46,46,0,51,9
 ,52,12,68,39,97,96,13,44,54
55,96,88,30,22,18,70,67,17,71
55, ,51,28,46,90, ,32,70,64
28,80,43,16,33,48,90,74,54, 
91,20,19,14,30,76,63,12,6,27
96,66,52, ,58,51,15,14,93,11
5,81, ,44,19,12,69,8, ,60
85,29, ,45,28,3,54, ,0,46
 ,95, ,8,57,85,26,99,66,48
74,8,62,71,21, ,67,99, ,87
89,87,39,22,26,67,68,33,59,88
68,2,77,31,97,12,64,62,14,41
73,15,51,18,45, ,14,43,94, 
35,97,12,48,65,60,4,16,74,69
79,99,29, ,76,92,46,51,31,42
79,67,10,3,76,99,50,69,44, 
20,28,43, ,38,39,85,86, ,96
8,31, ,0,41, ,85,37, ,65
95,6,91,14,64,30, ,86,25,58
18,92,91,43,83,94,91,69, ,15
75,42,50,92, ,10,17,76,16,88
96,55,35,97, ,96,12,99,79,95
79,82,79,43,27,79,8,42, ,88
90,93, ,66,28,59,17, ,0,65
49, ,61, ,70,68,71,66,18,72
26,20,41,89,30,86,0,51,97,65
72,37,90,6,64,0, ,20,1,51
95,67,41, ,81, ,46,2,8,70
53,77,79,92,31,65,75,24,52,47
47, ,94,26,27,45,26,17,4,50
17,70,19,25,83,10,39,2,78,7
2,45,77,86,48,85,82,67,87,65
 ,75,22, ,55,79,19,16,10,27
74,35,42,16,19,2,74,60,8,73
9,27,35, ,46,20, , ,78,40
 ,50,92,1,38,89,58,10,16, 
51, , ,19,41,7,3,16,98,84
34,89,41,54,46,20,18,66,69, 
11,26,19,49,72,96,16,13, , 
 , ,95,12,8,45,55,35,47,98
36,78,30,33,22,59,94,4,16,69
2,41,46,23,38,61,70,84,14,46
63,48,33,48,69, ,71,17,78,52
33,34,45,92, ,10, ,73,73,32
79,95, ,67,76,8,49,5,15,70
7,77,9,91,76,41,2,97,84,28
62,33,19,37,54,24, ,1,34,70
80,85,95,80,94, ,55,61,21,28
15,66,44,41,24,94,27,53, ,63
77,37,14,62,67, ,25,14,98,82
82,86, ,13, ,23,92,25, , 
65,90,66,99,91,84,72,29,74,31
28, ,52,71,70,18,87,88, ,21
75,69,3,26,97,49,50, ,29,70
96, ,15,11,26,14,23,61,49,35
98,76,62,27,56,58,54,81,36,1
59,10,6,76,37,32,45, , ,35
96,69,48,53,93,22,52,11, ,18
41,73,6,98,93, ,4,42,57,97
20,0, ,53,98,89,53, ,26, 
35,14,89, ,92,7,97, ,17,61
83,84,32, ,85,91,88,47,4,61
9,76,3,22,91,26,3,35,74,85
13,72,67, ,71,35,4,17,92,43
81, ,33,25,53, ,39,92,32,84
68,46,97,92,72,5, ,87, ,20
52,0,67,12,57, ,41,22, ,26
 ,19,65, ,82,1,74,9, , 
79,50, ,8,92,33,47,41,69,51
65,17,67,87,88,0,95,49,17, 
10,58, ,34,97,28,39,14,7,36
71,10,24,51,92,31,78,76,93,72
14,39,94,11, ,47,7,6,96,30
5,1, ,40,82,10,25, ,64,50
90,54,48,11,40,67,78,70,95,21
31,4,80,41,9,63,43,39,79,47
58,91,87,16,10,77,93,28,12, 
21,83,6, ,98,11,1,61,6,55
31,60,8,90,27,7,24,29,76,8
 ,20,12,82,96,61,61,78,36,60
59,81,88,36,27,43,78,23, ,5
49,59,98,46,24,29,39,80, ,32
15,49,62,22,20,91,25,77,26,40
 ,19,87,16,4,0,13,36,22,94
 ,70, ,95,81,54,29,35,73,8
90,87,0,51,72,2, ,88, ,93
11,22,21,15,2,79,78,23,61,65
60,86,4,52,52,75,20,31,50,98
35,63,49,78,10, ,71,11,86,86
33,4,51,29,52,91,12,68,19, 
30,49,37, ,72,46,46,91,78,52
36,84,11,98, ,17,27,1,1,7
12,13,72,63,71,75,43,64,92, 
72,87,11,9,36, , ,61,16,92
97, ,4,60,72,20,86,37,78,81
54,50,63, ,84,99,79,92, , 
 ,49, , ,21,60,3,2,52,52
60,56,0,26, ,23,66,53,74,34
30,5,70,91,97,7,9,55,24,61
87, ,54,25,84,77,65,35,15, 
70,93, ,2,32, ,14,29,84,56
26,79,77,26,45,38,25,3,87,21
 ,59,26,48,44,85,76, , ,61
65,73,23,70,1,20,11,94,29,30
49,27, ,4,32,80,8,33,88,24
33,40,24,9, ,30,58,2,13,90
49, ,9,78, ,66, ,87,34,25
80,55,65,20,83,58,98,49,4,74
 , ,50,90, ,24,14,47,38,14
29,4, ,4,10,67,13,98, ,48
2,83,52,11,47,8,70, ,74, 
79,51,77,47,63,32,59, ,43,50
74,88, ,50,97,69, ,49,64,61
30,94,13,54,4,11,39,5,9,78
62,73,64,19,5,59,62,31,60,24
84, , ,22,51,90,35,80,88,31
74,88,73,87,27,91,12,88, ,10
51,48,77,61,89,18,81,85,28,3
63,24,64,4,1, ,53,2,35,96
93,40,85,75,23,3, ,55,92,82
16,12,37, ,71,77,27, , ,60
63,57, ,61,25, ,18,7,52,27
29, , ,3, ,30,40,4,62,54
90,92,32,34,25,21,77,46,41,78
15,60,8,53, , ,20, ,13,55
46,56,46,74,21,32, ,49,38,40
74,19,1,77,53,81,36,41,51, 
42,58,5,24,26,30,8, ,89,33
51,55,71,38, ,90, ,33,91,72
33,4,93,76,71,43,32, ,88,63
67,6,6,91,31,46,34,14,2,78
65,63,76,62,88,44,2,14, ,5
21,28,40,46,39, ,59,65,75,82
5,62,26,1,73,46,13,84,92,91
62,55,35,43,61,48,96,17,76,62
10,6,61,69,13,87,91,96,63,37
 ,86,62,9,73,47,39,29,18,33
33,59,85,5, ,46,90,36,75,92
7,8,61,60,83,58,14,14,38,29
81,1,88,54,71,24,68,9,98,54
 , ,37,66,89,67,57,94,22,97
48,23,48,6,21,27,87,89,43,76
 ,44,19,46,16,75,78,17,92,58
 , ,78,51, ,76,53,33,97,35
32,8,88,41,19,26,52,60,55,67
 ,43,18,47,94,70,65,95,72,69
16,32,15,7,65,98,40,92,38,93
