Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
80,56,83,32,51, ,34,32,45,67
42,27,51,47,31,95, ,70,27,75
2,75,61,65,55,25,22,76,4,84
40,69,72,94,93,61,96,29,46,15
76,51,94,35,36,72,58,65,82,32
29,71,29,83,97, ,73,29,35,7
93,6,86,35,30,50,23, ,49,79
50,32,50,58,8,30,10, ,80,96
63,11,32,57,84,89,81,49,17,69
32,70,96, , ,75,93,47,52,39
89,40,40,46,32,13,3,87,21,4
60,64,17,59,91,79,22,61,42,54
70,75,14,48,46,79,31,61,56,19
19,30,19,5,99,35,27, , ,73
 ,20,56,77,88,57,46,29,36, 
27,27,36,96,75,4,33,69,37,56
85, ,94, ,24,37,42, ,70,7
87,9,75,62,28,94, ,32,80,4
28,87,24,30,1,3,10,46, ,5
8,42,58,35,20,72,92,19,25,89
51,25,21,34,51,62,73,62,44, 
 ,60,96,73,11,65,19, ,44,33
39,96,56,51,18,5,82, ,54,29
81,26,40,64,90,86,9,32,37,39
7,4,5,0,40,86,71,70,58, 
49,50,14,17,69,41,13,72, ,46
28,68,10, , , ,87,16, ,67
35,40,68, , ,60,8,12,36,43
57,44,34,72,12,71,31,77,44,18
82,67, ,80,14, ,19,42,65,60
27,47,51,6,51,75,75,50,48,24
43,84,26,27,4,29,60,31,55,42
88,77,76,6,55,20,77,61,32,94
77,69,0,51,37,63,12,88,68,13
26,23,39,7,75,8,26,91,77, 
14,47,48, , ,57,50,50,5,23
62,66,3,91,10,58,2,88,13,38
73,67,77,7,72, ,34,40,30,91
69,70,12,10,58,0,20,67,74,51
 ,82,93,72, , ,84,1, ,23
67,70,81,26,67,44,80,99,79,31
3,29,9,37,4,11,95,98,52,78
 ,23,99,62,99,69,97,17, ,99
 ,4,18, ,0,5,99,74, , 
18,99, ,92,16,20,22,33,30,25
14,50,58,89,78,50,27, ,83,7
22,29,20,89,83,39,42,84,51,22
66,45,59,97,30,52, ,82,22,98
19,75, ,68, ,20, ,14,56,74
83,58,76,65,93,1,72,49,13,68
40,2,95,59,76,67,5,73,37,61
13,61,0, ,14,53,54,98,20,80
91,41,20,24, ,62,36, ,98,27
46,22,37,25, ,46,79,42,60,14
18,33,81,56,68,35, ,77,66,77
51,37,56,45, ,39,46, ,79,62
95,18, ,95, ,95,99,37,49,54
32,56,40,96,1,36,25,34,47, 
27, ,73,9,76,86,65,31,68,41
69,41,7,39,11,83,13,87,34,97
55, ,20, ,41,44,36,26,20,45
75,47, ,60,95,1,46, ,30,67
26,4,92,85,19,51,67,20,85,75
24,53,69,64,18, ,45,36,33,2
96,3,76,81,15, ,67, ,21,58
17,5,89,90,68,3,76,80,60,10
48,52,93,3,40,1,19,6,58,36
22,98,39,78,36,41,14,98,81, 
21,24,83,86,90,29,5,15,8,82
30,48,86,13,23,17,78,24,73,55
94,81,53,4,91,69,59,37,60,40
65,29,99,5,64, ,58,17,98, 
60,51,28,48,57,16,93,54,25, 
31,41,62,37,59,95,97,74,29, 
95,85,40,93,1,49,51,19,38,81
78,14,14,76,45,17,5,52,81,41
65,61, , ,60,0,24,59,80,54
15,19,40,36,71, ,12,4,62, 
43,75,23, , ,38,56, ,72,80
32,42,77,63,60,93,88,65,38,93
33,76,33,98, , ,12,84,17,13
 ,73,45,37,61,47, ,85,77, 
11,39,92,29,3,3,97,17,32,66
71,77,99,4,57,45,97,85, ,15
8,78,96,91,95,34,26,43,62,49
79,12,13,33,2,77,47,84,19,11
30, ,57,24,70,52,26,49,82,9
49,62,6,44,37,61,52,33,14,12
4,22,34,7,19,1,74,29, ,74
20,91,47,5,12,69,68,19,69,7
10, ,79,50,78,83,52,99,26,31
10,53,63,26,57,71,28,29, , 
17,12,79,80,89,77,90,15,94,33
 ,90,13,68,62,1,94,54,52,76
9,8,73,46,90,51,67,51,75,90
96,81,64,86,55,47,45,95,52, 
 ,66,55,31,16,25,46,98,13,63
79,62, ,7,79,36, ,79,54,22
41,93,44,89,67,6,2,50, ,35
96, ,33, ,13,18,46,89,98,30
 ,73, ,80,51,88,78,87,39,9
49, ,68,47,60,71,63,63,16,16
63,43,61,66,6, ,82,68,70,29
99,14,25,80,41,79,57,39,23, 
60, ,5,57,77,13,70,70,29,9
 , ,3,47,0,96,93,83,55,1
64,39,86,90,94,52, ,11,33,2
50,90,82,57,45,90,11,98,55,79
2,64,29,62, ,65,74,46,37,6
82,15,66,39, , ,34,50,15,63
20,15,81,39,39,65,2,0,89,3
21,76,95,89,84,2,78, ,60,30
47,54,10,93,92, ,21,76,37,25
83,80,15,3,19,36,60,62,54, 
84,7,79,93, ,65,54,12,34,93
34,49,21, ,83,70, ,54,19,85
 ,63,31,90,78,14,19,40,2,53
26,75,86,51,6,78,89,50,7, 
 ,66,92,69,18, ,72,70,58,95
19,51,67,32,17,17,55,25,96,41
29,72,96,10,10,0,95,73,18,74
60,94,95, , , ,30, ,44,61
35,95,79,76,47,39,56,1,5,33
15,93, ,14,97,68,42,33,21,65
 ,15,41,50,89,38,58,45,0,66
97,76,15,69,39,70,74, ,16,24
46,97,40,15,52,58,12,35,47,17
93,21,90,3,65,65,10,81,14,42
13,26,32, ,79,92,9,53,98,42
25,69,82,19, ,17,13,76,56,1
89,23,26,73,29,8, ,80,96,35
95, ,70,63,35,57,50,54,66,5
47,74,68,37,30,7,94,79,85,13
62,57,16,87,94,23,27,98,32,67
35,9,64,96,31,69,79,7,40,79
88,76,1,12, ,79,46, ,77,94
67,83,21, ,28,5,38,12,16,43
 ,77,20,49,80,94,0,2,99,47
 ,6,76,10,86,18,18,8,80,71
64,49,99,42,11,30,18,46,81,85
83,98,63,23,90,98,92,94,60,75
2,47,41,16,51,90, , ,36,97
11,55, ,48,37,19,15,77,38,61
15,84,75,23,55,62,3,71,93,73
59,5,84,95,81,56,41,15,59,82
 ,45,33,3,88,20,83,24,97,53
89, ,86,17,70,40,92,97, ,93
49,51,1,83,93, ,46,24,78,10
13,71,33,23,88,24,76,68,8,30
96,70,13,1,5,87,92,72,23,57
21,28,89,44,99, ,95,4,0,40
4, ,23,38,70,91, ,13, ,10
98,97,29,94,35,16,73,39,87,70
59,86,68,63,62,78,29,60,7,75
88, ,62, ,88, , ,11,99,90
 ,54,22,25,58,44,8,92, ,84
51,48,70,99, ,99,59,40,14, 
39,0,92,49,11,81,31,79,73,8
32,72,37,55,55,92,65,35,11, 
22,31, ,64,98,48,11,85,95,25
72,68,75,58,92,96,92,74,1,8
76,7,37,72,14,82, ,51,53,12
78,61,75,95,46,94,10,54,87,70
61,3,45,2,40,63, ,24, ,69
58,69,62,2,78,63,11, ,14,62
 ,61,92,29,50,62,6, ,76,96
75,34,76,77,0,77,60, , ,47
0, ,70, ,77, ,53,51, , 
44, ,28,44,5,93,75,36,70,61
7,91,83,38,98,48,93,5,97,51
70,69, ,6,35,32,50,98,78,74
43,4,15,12,86,90,33,58,0,50
8,41,76,95,84,11,91,34,3, 
90,35,42,38,71,72,12,49,31,66
 ,35,1,13,34,82,7,16,34, 
56,30,66,84,14,4, ,77,1,43
14,31,58,90,26,62,81, ,11, 
95,39,6,15, ,17,80,78,63,17
65,29,54,72,65,62,79,31,71,7
87,18,56,26, ,43,38,51,89,1
99,27,65,21,64,64,60,39,45, 
65,98,48,39,23,79,72,16, ,9
87, ,52,18,34,87,2,80,41, 
81,59,85,27,65,81,75,49,21,52
79,50,2,30,44,39,64,80,46,1
99,87,52,8,81,36,60,10,90,67
99,60,4,15,48,63,0,23,87,27
92,29,50,16,82,75,90,46,76,46
78,73,59,33,28,16,24,75,86,16
75,50,28,60,58,29,16, ,76,50
28, ,50, ,25,72,27,93,92,47
20,48, ,85,85,20,53,13,84, 
70,9,6, ,99,77,3,78,15,36
50,3,7,15,20,85,70,28,80,99
 ,76,24,17,58,16,73,63, ,20
67,59,60,26,44,54,86,20,99,42
 ,65,83,34, ,80,43,8,0,33
57,33,21,87,45,7,66,52,14, 
61,78,18,37,27,54,64,87,53,63
53,2,17,93,47,76, ,54,79,75
 ,81,62,86,22,58,34,36,52,70
32,31,27,64,70,40,53,25,67,66
50, ,85,11,88,93,97,65, ,56
4,17,98,66,87,34,24,78,70,11
3,87,74,2,38,53,87,86,41,9
86,82,29,10,75,93,99,16, ,19
18,10, ,80,51, ,61,87,34,34
8,71,28,30,67,89,61,65,68,52
83, ,45,3,61,85,10, , ,48
72,48,47,38,1, ,33, , ,36
 ,63,12,60, ,70,13,67,85,42
72, ,27,11, ,73,29,44,74,4
63,83,21, ,89,32,31,87,96, 
7,0,55,91,21,3,65,29,0,44
40,79, ,74,75,57,79, ,60,94
 ,15,81,82,70,48,75, ,9,17
50,51,17, ,40,63,74,98,32,31
27,44,24,72,29,3,99,57,81,24
53,41,2,17,19, , ,52,23, 
96,43,67,44,6, ,79,34,77, 
79,78,34, ,81,57,56,1,14,87
90,70,31,46,82,41,4,21,90,82
28,76,10,4,24,89,11,71,10,8
42,35,5,65,6,68,87,19,23,24
17,62,74,71,51,77,28,41,70,31
55,11,44,41,55,15,80, ,54,71
63, ,58,29,14,8,76,44,7, 
49,73,73,95,46,63,89,69,86,36
63,94,12,53,66,18,0,30,38,25
 ,89,67,72, ,21,89, ,84,59
47,8,78,91,54,9,91,59,96,98
0,89,91,56,67,17,74,6,50, 
5,33,55, ,36, ,35,73,81,27
 ,3,54,39,47, , , ,7,7
91,67,0,11,83,72,67,21,3,61
85,72,74,75,75,22,46,5,80,83
1,28,55,75,95,83,29,12, ,88
1,8,18,73,78,49,91,70,61,36
 ,74,98,59,8,99,87,2,90,30
78,6,12,90,72,10,28,97, ,57
96,37,30,93,99,16,72,62,50,83
46,33,22,37,6,86,37,94,31,55
82,87,10,47,23,84, , ,10,36
97, ,83,80,41,38,4,12,56,87
15, , ,32, ,50,19, ,16,0
76, ,18,45,34,60,71, ,77,47
 ,79,60,16,17,97,73, ,54,41
49,18,49,35, ,13,77, , ,25
87,51,15, ,89,75,51,27,6,65
77,34,14, , ,65, ,36, ,87
17,85,84,50,77, ,84,3,2, 
10,30,54,37,31,17,1,56,42,47
77,72, ,97,49, ,24,44,6,50
14,11,1,67,99,98,3,71,91, 
10,74,54, ,10,78, ,93,48,44
92, ,1,8,76,80,60,78,28, 
 ,91,6,16,63,90,3,80,12,6
87,0,51,23, ,52,97,34,72,69
67,5,32,36,69,44,7,91,79,99
3,51, ,85,90, ,4, ,9,85
50,36,67,77,17,75,53,73,35,22
29,11,17, ,27,91, ,15,5,56
78,36,43,37,95,92,95,30,75,76
76,74,94,0,72,82,31,3,9,91
15,22,5,17,2,63,53, ,48,49
98,31,37,52,60,4,9,87,93,37
43,38,84,71,1,82,27,49,63,78
96,88,70,25,17,39, ,77,78,55
54,93,4,4,70,47,2,83,1,33
77,5,88,22,35,78,53,45, ,49
50,75,58,28,6,99, ,95,3,60
51,2,86,2,13,82,32,16, ,22
63,92,1,58, , ,39,93,87,23
26,56, ,97,76, ,73,21, ,14
67,57, ,99,17,23, ,46, ,2
51,2,16,8,53,26,44,86,83,47
20,76,69,90,37,23,33,79,42,40
17,15,93,77,35, ,56,37,60,91
68,1,18,36,69,10,41,80,71,80
 ,6,74,47,57,66,47,37,69,40
34,49,4, ,7,63,48,95,55, 
30,84,86,47,35,88,55,39, ,44
 ,52,67,79, ,37,29,34,26,65
78,94,78,51,10,25,89,7,98,99
85,51,79,94,17,65,50,91,30,31
 ,57,89,2,85,9,36,84,26,46
88,98,57,76,88,18,20,23,63,20
77,81,77,65,36,37, ,35, ,93
64,4,11,58, ,21,55,38,51,62
