Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
11,91,92,76,60,49, ,76,47,1
17,1,84,52,56,2,94,30,96,21
17,97, ,74,86,6,24,49,13,53
24,87,31,94,87,96,68, ,46,6
20, ,68,86,40,85,83,31,73,61
37,19,83,29,34,22,84,43,76,70
30,11,65,85,5,7,96,77,14,95
70, ,55, ,7,9,49,33,53,3
37,85,51,71,61,36,36,75,62,50
63,48,99,73,80,91,86,63,59,68
22,78,12,29,84,45,40,61,75,92
12,73,61,38,72,42,10,52,74,98
 ,43,2, ,42,3,68,19,15,80
2,59,47,65,93,82,99,35,47,75
86,24,95, ,11,78,27,24,77,37
89,60,77,16,52,59,76, ,32,11
46,8,63,36,17,74, , , ,2
60, ,13,73,85,23,48,47,71,6
95,71,75,7, ,63,27,17,37,14
10,17,75,75,23,77,27,31,95, 
92,10,3, ,44,33,64,87,72,33
33,79,17,31,46,25,19,4,4,18
10, ,75,95, ,58,18,48,3,4
14,62,45,40,91,89, ,0,2,60
32,57,48,72,53,51,52,50,48,32
24,88,72,97,63,73,88,20,80,84
30,23,38,74,7,84, , ,66,61
34,22,21,38,48, ,32,64,78,6
 ,92, ,77,16,57,11,9, , 
58,55,4,34,29, ,7,11,69,20
81,15,70,43,99,36,38,72,96, 
33,71,84,50,87,65,35,3,48,10
 , ,77,28,83,66,40,6,39,30
35,44,6,80,47,3,69,47,8,16
44,21,82,96,19,11,46,57,35,61
66,40,63,82,65,63,81,93,14, 
34,98,63,47, ,84,73,44,86,2
79,67,77,29,13,61,78,98,43,15
44,38,50,31,89, ,69,73,80, 
51,85,36,92,31,88,96, ,34,98
82,6,41,20,88,36,52,17,8,59
13,32,91,7,15,42,41,14,25,96
35,45,6,53,43, ,56, , ,0
25,71,69,71,83,44,50,53,4,90
 ,6,8,68,57,17,10,86,13,13
38,77,18,10,41,93,46,20, ,89
23,88,85,23,46,40,18,56,26,85
34,23,83,64,90,9,28,51,31,41
54,57,90,47, ,33,41,70,53,50
84,0,32,49,30,88,79,65,61,0
86, ,28,95, ,90, , ,69, 
2,22,80,38,27, ,80,33,48,15
 ,19,61,59,27,95,7,28,47,78
97,94,87,85,13,83,52,56,81, 
9,36,59,15,81,68, ,75,74,24
31,63,24,18, ,99,71, ,7,8
12,22,66,59,49,5,92, ,56,37
71,3,16,79,81,74,88,46,39,84
84,87,9,70,77,38,26,20,15,8
76,20,55,90,1,76,92, ,2,15
67,6, ,48,92,37,61,84,79,49
34,44,37,75,38,98,32,13, ,62
64, ,65,39,71,90,87,72, ,9
11,6,90,9,26,83,46,15,13,10
74,54,16,67,14,15,69,2,35,72
71, ,17,66,18,0, ,29,40,15
93,85,55,30,15,69,27,44,59,45
67,48,59,86,23,8,32,25,48, 
64,16,49,97,16,73,15,14,48,52
15,56,87,57,99,22,34,16,96,12
 ,85,77,93,21,95,0,26,38,90
76, ,40,76,21, ,33,33,65,92
53,44,83,99,78,87,51,71,4,65
30,32,25,82,75,50,88,77,40,83
14,86,34, ,38,19,97,31,84,44
72,26,8,79,61,64,71,67,70,91
92,8,69,51,37,29,15,12,76,5
49,18,5,57,10,84,59,92,34, 
71,12, ,67,78,87,82,53,57,85
34,62,98,13,51,33,19,47,26,97
 ,84,41,42, ,1,92,23,55,78
11,16,65,18,38, ,35,86,38, 
81,20,97,18,69,42,44,77,99,97
55,62,72,69,52,35,68,16,69, 
39,28,54,65, ,8,99,49,46, 
16,28, ,61,6,48,12,16,63, 
46,92, , ,28, , ,86, , 
91, ,42,0,34,25,84,69,45,94
38,90,51,97, ,74,20,5, ,61
 ,96,84,73,12,71,16, ,40, 
91,37,22,44,79,81,12,47,8,51
 ,63,28,20,18, ,58,93,87,9
59,82, ,94,24, ,55,52,17,41
77,59, ,17,36,78,24,12,92,90
15,90,71,38,62,25,72,62,23,1
94,12,89,31,78,70,37,79,5,93
13,71,99,96,13,81,76,26,18,48
80,90,80,27,88,54,39,86,58,61
80,79,36,22,64,53,90,63,14,56
11,3,35,89,73,65,93,10,51,86
5,60,83,66,14,0,34,75,95,64
15,23,75,39,68,42, ,3,49,36
41,47,94,42,47,28,23,41,34,72
43,4,64,87,35,61,84,43, ,85
 ,93,27,31,49,43,27,22,5,40
1,16,52,72,79, ,22,74,70,25
41,82,19,85,76,92,74, ,37,86
17,43,88,73,58, , ,5,80,19
55,27,64,3,82,54,50,35,70,82
7,8,38,16,84,71, ,99,71,72
78,59,63, , ,2,39,13,55, 
70,39,81, ,89,65,5,65,51,31
56,72,20,5,93,63,30,51,90, 
80,47,77,7,37,94,88,25,29,52
 ,13,43,35,29,57,7,59,7, 
69,88,34,72,24,98,64,90,73, 
68,53,75,55,8,79,32,52,96,68
 ,69,31,84,25,56,25,6,96,6
 , ,10,1,93,68,65,76, ,8
64,95,86, ,6,99,20,33,75,36
16,73,52,10,73,37,55,38,54,24
39,63,30,56,41,82,22,42,94,4
43,11,9,75,35,24,24,35,84,61
85,83,0,82,79,63,28, ,37,96
60,25,22,71,97,39, ,83, ,83
 ,78,26,37,17,92,55,3,18,75
11,29,92,24,61,59,21,10,80,1
6,40,86,15,83,36,43,71, ,95
81,72,98,88,91,47,43,29,28,21
56,70,55,22,55,4,96,14,88,40
40,68,29,90,69,90,23,77, ,99
53,76,14,4,41,49,48,88,66,22
55,15,57,59,73,7,77,16,37,0
29,99, ,88,54,32,30,93, ,69
60,30,70, ,87,88,99,38,66,36
27,29,69,26,71,32,10,72,47,29
78,44,84,27,99,6,54,86,95,86
64,9,96,53,62,78,99,18,5,36
9, ,64,19,74,75,97,51,91,25
95,14,8,55,43,29,10,81,51, 
26,39,32,19, ,53,62,39, ,47
 ,40, ,69,52,88,93,90,25, 
58,6,90,95,8,29,82,34,1,92
