Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93
96.41,99.83,26.37,12.55,88.68, ,10.81,81.77,59.37,91.30,38.73,15.65,1.59,15.07,61.02,30.34,3.94,69.63,17.60,68.57,48.99,6.02,98.14, ,57.50,36.30,84.65,77.49,39.41,75.62,65.12, ,34.91,72.03,43.10,64.84,74.15,43.88,73.62,67.96,99.52, ,61.37,92.73,59.08,42.96,82.60,17.84,42.99,35.43, ,25.07,59.70,26.20,79.39,45.60,18.44,61.24,6.49,66.08,18.86,88.31,80.83,71.39, ,76.32,86.91,4.73,84.05,25.48,83.34,33.23,43.74,91.94,84.83, ,30.18,81.40,24.13,14.88,6.46,71.83,41.16,90.86,80.23,65.92,78.15,1.09,34.95, ,52.04,52.51,94.45
16.62,47.21,27.82,85.32,14.56,23.24,62.30, ,57.11,58.82,20.81, ,55.76,44.90,3.61,43.03,20.49,11.00,38.51,10.43,20.89,95.27,35.74,7.80,14.67,85.53,58.20,94.04,84.78,21.77,36.35,86.46,24.45,24.55,36.28,86.78, ,82.04,95.71,9.10,54.28,7.94,4.69,98.25,38.16,40.43,73.54,13.02,29.67,54.93,46.76,79.40,49.88,5.23,1.05, ,55.33,75.94,65.51,57.79,67.49,24.60,68.52,7.07,59.50,53.83,64.32,31.53,93.61,73.48, ,87.81,49.35,83.15,14.13,66.68,79.96,22.90, ,52.72,29.09,98.63,64.34,26.64, ,20.25,4.68,82.85,66.66, ,49.81,55.25,7.77
42.25,76.44,99.62,97.34,41.38,11.62,58.92,1.58, ,90.41,17.97,87.28,5.47,34.45,83.64,54.34,38.99,13.63, ,42.79,52.11,48.56,89.88,1.99,97.59,81.88, ,55.14,63.11,8.06, ,91.70,61.52, ,85.30,88.53,85.31, ,69.48,24.53,97.15,50.82,87.02,87.13,87.84,28.60,74.85, ,66.56,17.16,53.74,37.96,11.16,83.39,92.75, ,52.10,23.01,64.95,35.62,75.52,18.87,71.92,30.28,60.28,44.72,4.47, ,46.74,16.96,30.32,3.18,61.81,49.83,38.34,0.36,35.38,9.29,95.74,69.79,63.30,68.02,24.99, ,71.72,29.68, ,39.38,30.68,78.42,65.94,40.37,7.18
90.12, ,85.85,85.05,82.79,77.17,30.56, ,2.28,44.20,69.79,9.15,84.78,80.98,4.33, ,11.51,7.13,12.36,47.47, ,30.26,79.30,33.54,46.59,37.60,39.94,74.37,7.85,36.65,9.87,10.18,52.49,34.02, ,27.00,17.06, ,20.04,90.27,80.12,89.39,27.65,25.10, ,32.95,15.07,71.05,31.95,8.55,31.95,58.88,16.97,88.09,95.97,65.45,76.66,38.93,29.97,19.46,46.68,93.16,74.19,17.80,62.14,45.38,15.37,53.05,80.19,7.53,37.68,25.71,75.29, ,5.26,28.17,79.58,30.41,54.77,59.13,56.77,6.29,0.85, ,33.20,45.05,66.91,13.70,97.07,57.26,94.26,33.95,69.75
61.92,69.30,70.21,13.31,36.50,56.54, ,89.74,13.13,4.71,44.16,92.93,54.58,27.42,32.66,14.49,20.85, ,77.40,46.70,51.47,54.88,30.26,97.75,36.08,72.76,72.38,24.88,24.67,32.96, ,91.89,3.43,9.49,90.13,66.62,56.73,35.71, ,58.66,48.13,90.70,26.69,90.98,68.62,75.16,85.07,93.46,34.84,78.48,96.33,21.37, ,71.19,5.21,71.54,99.40,58.41,92.98,11.28,90.11,19.70,12.00, ,80.99, ,59.47,87.67,62.07,83.68,77.72,84.52,56.60,15.55,4.21,36.50,53.07,42.42, ,54.42,3.45,9.82,94.88,82.46,12.59,21.77, ,10.66,74.28,14.28,82.28,98.35,33.99
45.39,24.19, ,48.07,66.24,61.92,8.42,99.21,91.69, ,16.70,97.21,98.91,80.80,30.00,99.96,30.57,40.39,9.04,2.83,37.47,38.10,69.15,97.81,74.17,57.01,50.44,81.85,65.72,30.54,41.80,59.70,75.86,27.13,71.32,61.07,90.69,7.38,81.65,50.01,23.98,46.69,61.23,23.77, ,54.31,32.99,82.36,60.67,32.49,53.77,6.64,53.14,69.93,87.45,63.00,99.10,89.95,31.25,97.30, , ,80.86,36.43,48.03,45.67,42.66,42.97,61.99,55.10,9.10,7.05,85.81,42.11,79.67,94.25,31.55,28.59,46.60,75.63,62.11,75.15, ,18.12,82.74,9.18,23.33,21.71, ,27.86, ,7.53, 
84.51, ,13.09,58.06,30.51,40.22,27.84,72.55,99.08,60.20,69.95, ,91.66,97.52,16.51,27.04,18.36,69.88, ,24.75, ,55.26,42.97,68.43,79.62, ,34.91,95.30,58.12,96.52,52.81,53.60,43.08,81.99,50.90,79.27,99.71,30.91,24.99,8.73,17.60,0.01,97.73,57.37,50.60,92.94, ,46.54,13.00,49.02,78.46,46.90, ,28.92,0.85, ,9.58,40.59, ,93.10,62.20,86.29,4.35,16.20,25.76, ,53.32,54.89,93.09,85.89,30.71,54.48, ,64.07,34.49,18.38,27.22,78.05,93.38,92.73,56.67,92.81,71.82,98.83,18.15,89.49,31.32,26.27,54.30,67.43,87.12,16.38,66.39
27.85,76.83,69.34,39.08,77.43,87.22,14.49, ,3.98,8.19,3.43,18.68,91.56,80.90,23.85,43.76,23.09,95.10,72.87,82.75,6.02,22.25,8.14,59.15,4.78,76.51,91.47,1.99,2.66,60.40,78.13,44.78,7.69,44.90, ,27.65,74.49,37.85,29.44,15.92,70.25,18.08,74.74,80.46,15.93,18.17,41.48,87.21,30.03,87.60,95.56, ,70.06,64.05, ,29.52,7.57,26.02,78.24,38.91, ,54.84,76.70,63.53,84.49,29.06,93.84,7.14,65.86,45.63,4.03, ,46.79,59.20,44.84,73.57,96.14,38.59, ,35.87,7.83,87.96,31.93,76.56,90.88,16.28,72.33,48.13,67.10,90.96,12.16,13.48,24.53
 ,42.72,70.37,62.21,12.41,22.65,75.66,85.08,78.01,90.42,69.73,65.42,13.13,49.21,18.81, ,64.40,8.78,49.99,80.99,45.64,63.36,55.75,24.92,3.09,64.25,16.25,66.82,99.56,2.51,90.97,7.15,27.25,74.14,49.17,17.94,35.21, ,90.97,59.57,9.48,29.06,22.34,77.71,15.05,78.14,40.83,63.30,53.02, ,30.25,25.45, ,60.66,57.85,35.87,16.43,23.52,56.23,60.97,21.49,83.80,32.17,25.41,20.81,74.70,8.67,16.59,26.31,86.35,28.89,1.59,67.56,90.81,70.96,57.72,27.81,92.08,66.14,55.44,95.92,78.09, ,94.68,59.54,47.80,0.82,45.29,37.57,36.95,41.35,19.07,16.55
25.88,26.73,31.96,39.29,91.77,95.33,5.33,58.40,98.58,23.13,5.37,14.25,22.05, ,41.12,47.60,15.28, ,58.65,42.12,18.18,41.81, ,47.14,78.75,66.97,23.40,43.33,25.08,6.15,16.71,70.08,48.97,88.44,44.01,19.53,62.71,83.76,73.78,44.62,31.16,90.49,22.42,38.66,19.48, ,36.18,98.27,41.05,88.94,27.64,37.99,96.17,53.35,65.19, ,17.72,28.61,69.97,42.03,98.52,53.44,97.69,24.98,86.56,87.12,36.25,43.01,16.76,59.19,99.62,6.18,58.85,25.54,85.81,37.45, ,90.89,26.77,36.02,22.97,12.08,80.88,71.01,49.42, ,38.58, ,44.76,48.19,47.94,65.35,14.46
