Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94
186.84,123.54,35.45, ,265.73,219.29,253.04,22.64,54.83,216.13,61.61, ,79.71, ,136.43,1.03,218.85,15.09, ,44.53,137.08,45.10,298.14,290.11,206.24,34.65,277.22,257.43,204.82,177.93,15.02,145.86,48.37,91.91,266.48,19.74,131.73,112.00,144.48,19.28,74.13,269.59,94.41,120.42,26.22,201.04,148.63,193.74, ,33.15,98.85,137.94,253.32,224.14,193.82,221.60,94.26,133.01,268.57,293.76,96.38,255.06,148.88,132.26,195.26,229.61,79.81,290.47,129.12,36.33,128.45,7.17, ,63.07,207.53,248.15,297.14,230.60,38.38,177.06,202.94,295.67,111.72, , ,264.36,56.71,164.00,3.17,166.15,70.28,118.21, , 
208.14,93.91, ,57.55, ,74.75,73.83, ,159.53,299.65,290.88,231.84,196.25,23.48,280.53,16.22, ,244.47, ,132.91,127.85,48.31,226.79,64.61,205.90,57.79,256.50,108.46,148.17,46.70,190.63,282.80,147.20,297.98,132.00,144.15,180.67,71.30,190.39,84.05,33.41,165.55,216.93,151.40,184.49,229.13, ,267.03,28.17,87.28,199.52,191.40,35.95,222.40,164.92,128.80, , , , ,298.00,145.91,88.06,19.52,186.03,152.32, ,22.39,88.29,173.43,266.25, ,156.33,139.13,38.21,6.51,107.59,99.76,41.55, ,61.07,72.73,27.72,190.87,278.72,93.95,285.02,244.83,216.54,232.08,240.64,208.19,29.51,1.43
254.25,169.71,64.65,153.85,92.59,142.47,23.88,223.46,296.63,101.85,70.71,114.85,255.85,213.01,235.75,268.36, ,138.07,168.34,59.17,173.08,103.17,127.76, ,136.66,36.15,249.40,272.44,118.20,87.29,213.64,245.66,213.03,20.07,217.69,177.52,273.65,281.56,21.15,245.83,122.05,6.77,156.78,47.11,158.31,298.70, ,180.70,73.33,212.72,1.33,169.40,71.64,193.03,172.11,126.64,100.97,236.25,167.76,76.98,165.57,251.53,179.29,141.29,33.00,243.63,144.24,9.31,263.99,96.69,181.26,65.58,234.31,12.11,9.10, ,174.67,6.42, ,138.65,76.30,116.87,205.97,132.96,176.99, ,273.68,298.88,298.62, ,0.45,233.38,82.32,184.22
294.70,150.41,168.67,4.99,246.64,246.66,126.25,176.54,97.34,242.74,108.21,125.66,217.08, ,299.40,2.43, ,108.23,175.35,103.26,262.45,91.31,129.50,32.77,161.42,115.63, , , ,250.11,245.10, ,244.51,153.13,98.47,147.18,238.27,154.17,0.33,109.84,163.03,135.87,272.71,128.62,175.32,47.26,101.74,58.51,112.87,16.88,173.00,185.16,114.49,11.98,284.80,244.64, , ,172.29, ,0.90,207.32, ,115.13,137.97,5.53, ,22.41,258.28,47.32,0.96,81.53,71.45,60.42,167.77,91.57,172.93,139.20,250.01,195.39,58.72, ,9.55,237.24, ,123.71,182.14,5.69,240.45,167.01,296.42,141.81,139.69,180.45
94.99,199.65,39.76, ,254.59,213.73,139.64,15.54,208.46,64.38, ,141.52, ,137.93,223.34,213.62,106.37,33.07,92.16,276.60,82.86,18.45,123.02, ,138.56,231.37,281.16,59.43,142.64,260.61,64.31,130.18,292.90,35.45,114.85,206.34,141.76,183.83,260.55,161.26, ,92.63,239.87,137.31,38.76,23.16,42.59, ,44.97,108.20,132.33,139.32,88.42, ,272.25,136.75,280.69, ,73.32,212.74,151.06,8.20,298.44, ,208.13,216.89,157.22,243.05,136.63,168.69,157.92,237.15,155.11,230.54,291.15,40.72,95.34,268.79,14.45,96.60,281.33,33.29,10.80,218.82,258.06,265.15,228.45,110.66, ,41.21,111.29,252.26,80.84,40.67
282.72,102.11,254.31,238.59,126.40, ,273.83,99.20,288.97,141.27,111.21,140.84,72.70,275.01,207.17, ,212.69,158.23,131.29,130.40,205.41,284.81,230.63,16.30,146.77,10.88, ,272.29,177.91,213.58,189.57,96.21,33.44,233.05,153.49,178.64,251.00,208.18, ,65.98,235.67,228.34,159.15,218.83,261.41,159.98,153.39,210.54,14.18,161.26,86.23,241.05,157.86,217.79,142.55,210.34,196.51, , ,222.18,2.06,207.42,297.93,142.78,289.02,141.20, ,227.44,160.43,214.99,154.83,79.47,151.29,35.10,182.45,212.16,92.82,33.47,93.68,97.64,83.29,143.35,173.96,290.71, ,205.70,162.66,50.78,297.93, ,287.90,127.11,216.98,295.81
174.78,44.72,91.63,227.01,61.58,5.76,135.36,257.98,176.25,157.45,102.54,213.85,156.85,290.50,260.88,24.27,75.79,108.07,196.99,102.39,136.05,10.84,121.74, ,297.98, ,175.48, ,89.33, ,130.29,232.13,243.23, ,19.02,34.89,222.37,288.84,206.02,191.77,218.72,255.53,234.04,92.19,192.53,76.44,11.82,282.97,276.59,29.80,264.75,182.05,134.66, ,40.69,259.83,186.60,173.65,54.46, ,164.47,77.03,8.08,274.27,191.83,230.43,246.47,286.33,82.31,299.42,161.67,110.19,153.90,253.44,285.07, ,149.54,229.75,283.48,64.73,210.43,204.97,262.06,118.39,182.47,90.01,101.05,143.02,211.21,134.29,58.69,21.14,127.85,298.68
 ,63.41,179.92,290.85,41.06,130.36,273.48,221.66,170.79,149.33, ,222.95, ,281.64,79.75,166.23,188.55,0.13,63.44,30.95,192.02,145.30,203.66,92.13,125.10,104.30,14.56,197.38,53.09,238.87,68.89,163.49,82.67,209.40,43.67,200.41,12.37,258.08,164.50,41.35,13.12,264.02,140.13,228.17,40.42,26.06,272.15,66.74,53.17,200.95, ,101.36,228.86, ,144.88,40.81, ,53.94,265.20, , , , , ,176.84,276.32,280.82,203.82,19.19,130.82,206.12,164.54,153.95,64.77,195.65, ,227.53,30.32,157.74,164.75,216.95,1.07,236.85,269.76,63.32,101.66,280.65,163.54,118.97,98.62,68.61,262.43,195.70,95.67
32.86, ,249.81,79.27,153.30,285.52,186.72,225.80,40.70,49.26,9.78,173.16,290.84,285.94,233.42,82.65,11.55,65.06,259.52,277.11,267.73,236.95,22.68,40.18, ,89.44,63.35,11.08,2.50,72.81,282.23,72.13,63.05,34.15,74.71,1.53,146.22,124.48,286.83,40.85,40.81,188.13,141.95,191.02,248.02,133.93,15.33,199.33,21.26,102.79,111.98,283.50,68.47,258.88,95.21,105.52,130.02,240.18,192.86,116.43, ,250.36,110.36,270.46, ,203.94,273.66,95.84,274.12,65.13,219.62, ,25.14,62.75,236.54,211.65,151.15,162.77,123.65,257.93,161.86, , ,109.27,249.22,288.09,131.56,33.15,153.82, ,216.56,224.81, ,292.56
41.25,203.93,128.46,259.00,297.48,143.71,271.02,173.16,206.46,180.20,296.62,297.89,250.58,209.71,63.68,4.29, , ,269.82,70.09,176.39,185.87,174.30,113.02,116.00,52.19,259.09,30.22,33.71,31.94,182.67,145.68, ,203.28,170.36,165.27,265.74,285.05,107.13,98.86, ,118.34, , ,255.61,34.40,265.16,232.73,161.95,34.78,281.70,232.85,295.23, ,228.05,22.62,159.01, ,116.94,96.58,17.24,55.43, ,20.59,274.23,279.93,203.19,34.34,275.27,28.38,142.17,24.37,291.62,286.26,0.31,277.98,243.32,126.82,71.66,112.94,15.82,98.53, ,132.87,110.57, ,117.86, ,142.23,228.58,231.48,25.92,87.97,100.87
