Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78
144.41,141.46,154.67,118.11,92.54,197.95,93.91,88.06,48.22,228.21,195.88,6.94,48.73, ,135.89,66.39,34.72,190.20,204.18,186.15,74.10,226.46,224.24,288.75,256.63,63.47,258.26,271.69,194.31, ,30.20,230.85,171.79,269.15,184.55,125.98,24.80, ,225.50,47.93,15.82,276.63,269.31,224.87, ,119.18,174.32, ,105.18,196.59,197.48,270.09,262.40,172.99,22.68,99.27,12.74,75.17,194.38,224.26,285.47,238.43,108.44,198.02,16.14,299.16, ,269.26,193.44,234.80,175.10,211.43,46.03,20.88,220.89,259.66,50.83,278.57
2.22,122.06,82.51,215.00,147.70,57.94,36.68,153.30,26.03,157.48,91.24,107.46,11.35,184.61,105.64,259.94,216.73,253.04,200.50,178.94,70.80,8.10,276.88,111.88,196.37,277.88,256.56,111.95,291.21,19.51, ,279.45,210.49,41.33, , ,204.92,85.23,145.16,194.34,232.23,290.46,37.99,48.65,24.37, , ,36.08, ,15.53,225.19,296.97,218.20,156.09,96.63,200.41, ,294.50,28.00,241.30,197.38,145.27,6.52,242.68,83.12,58.13,182.57,35.74,292.95,289.83,143.77, ,60.75,243.10,59.27,151.27,125.44,270.52
147.75,289.87,269.41,248.48,129.82,43.91,16.18,253.39, ,16.78,295.57,256.09,107.31,56.81, ,198.03,56.77,89.38,178.04,60.48,2.56,214.52,299.65,276.85,279.85, ,210.15,22.27, ,158.13, ,194.51,44.43,174.19,250.49,15.64,224.82,287.44,148.27,30.06,37.10,276.05,129.68,107.52,104.87,10.09,173.65,274.95,205.39, ,155.88,71.33,238.31, ,268.71,188.45,149.56,203.35,254.55,11.81,185.00,144.73,138.00, ,112.95,5.07,292.16,275.57,1.71,68.57,182.59, ,181.37,243.90,197.09,117.76,260.53, 
 ,197.84,123.65,276.53,2.59,52.27,214.20,165.25,184.34,10.67, ,192.04,257.42,74.83, ,283.73,97.29,221.66,172.90,292.65,105.42,88.05,158.78, ,24.03,157.79,141.00,32.72,141.79,9.81,146.00,200.35,201.62,184.06,82.57,189.40,34.78,20.05, ,22.30,67.46,23.71,293.63,119.37,129.54,36.48, ,140.81, ,42.44,101.97, ,31.34,170.75,13.23,258.59,213.10,124.11,148.22,59.36,30.13,265.52,122.51,95.15, ,13.06,114.39,244.95,146.37,223.90,86.77,171.08,27.81,267.54,143.81,152.91,208.43,245.29
61.45,143.22,215.18,30.54,271.31,82.71,49.03,30.17,121.32,279.23,196.83,242.67,125.07,20.42,34.51,81.57,222.69,120.73,81.07,167.43,126.76,170.06,256.75, ,78.06,290.83,298.31,169.86,62.67,59.37,299.95,177.74,247.77,216.64,183.61,253.05,194.67,106.05,159.94,82.07,107.76,165.19,10.50,145.01,0.48,169.34,229.46,96.33, ,12.97,33.23,215.91,275.55,75.27,279.03,128.08,189.31,82.21,211.48,140.38,117.73,154.00, ,201.09,151.45,227.45,83.95,30.21,283.87,128.44,128.34,157.97,99.30,127.58,270.44,235.06,62.57,109.09
254.05,95.20,60.90,219.81,30.97,198.03,99.33,44.73,236.47,273.03,261.65,130.44,45.45,187.18,45.32,288.74,6.46,104.87,106.59,212.22,274.70,152.41,136.72,1.69,99.85,108.96,75.34,293.59, ,180.77,50.22,217.54,183.50,154.46,108.06,163.09, ,273.33,227.87,295.18,183.24,204.29,156.53,231.59,100.41,30.88, ,207.92,36.29,248.22,42.29,69.90,1.91,178.71,151.62,95.14,172.00,285.46,46.70,95.78,65.49, ,94.70,135.62,55.27,289.66,269.34,15.93,47.86,53.43, ,42.20,172.46,133.12,78.39,123.02,76.63,206.44
283.21,139.94,280.68,14.31,36.32,242.63,108.12,264.47,273.59,198.88,220.86, ,299.26,127.00,288.43,79.88,298.72,132.69,285.98,37.68,236.00,155.31,206.06,111.51,11.21,60.87, ,92.87,38.29,288.24,293.10,291.60,2.47,118.54,282.87,63.52,254.21,50.87,67.53,212.76,99.69,290.40,69.97,118.20,87.93,19.99,110.19,66.89,8.49,138.50,203.65,186.92,63.48, ,131.01,171.88,125.97, ,82.92,134.20, ,222.14,101.05, ,112.64,230.41,255.49, ,159.14,299.42, , , ,165.43,148.00, ,50.81,172.39
111.11,104.65,81.07,36.41,18.33,129.24, ,198.15,221.11,251.39,203.49,214.24,152.09, ,241.55, ,113.94,82.89,241.30,268.52,152.55,165.33,296.58,20.99,256.77,63.81,180.22,96.76,36.21, ,31.09,269.77,4.35, ,191.79, ,160.31,54.46,60.05,24.24,34.48,21.62,282.77,156.80,26.53,286.28, ,17.37,77.75, ,184.17,61.93,7.95,126.62,249.90,75.90,251.52,193.10, ,175.87,243.76,229.44,112.22,3.00,70.61,149.85,264.92,2.68,263.84,23.43,174.81,102.15, ,212.53, ,299.49,37.66,43.85
138.28,171.93,285.66,222.02,183.29,91.40,83.75,110.89,81.49,17.28,134.64,96.17,13.65,94.60,38.92,18.41, ,190.34,280.18,240.50,16.18,207.09,211.19,13.03,43.82,35.64,133.38,23.63,228.18,104.66, ,243.11,35.41,188.24,217.80,294.38,37.30,240.58, ,202.91,51.36,251.21,174.18,1.53,94.65,17.11,209.20,142.41,210.73, ,283.26,141.28, ,205.71,153.74,241.22,97.09,85.67,141.92, ,260.63,90.71,215.55,10.63,159.07,229.10,277.48,1.46,67.42,24.47,27.14,251.11,299.06,8.59,141.03,85.07,77.35,177.41
66.07,286.62,226.43,131.63,128.07,22.67,6.49,205.38, , ,256.55,155.60,243.17,70.55,98.31,204.02,140.80,163.75,195.23, ,26.87, ,159.96,66.69, ,272.08, ,128.57,261.16, ,204.33,192.32,79.12,136.59,181.02,218.59,1.91,51.57,2.87,188.74,289.47,83.53,255.27, ,111.91,74.29,262.01,126.01,134.22,31.16, ,137.84,55.70,116.42, ,119.30,57.27,19.52,222.46,291.15,2.95,53.94,41.62,182.58,95.69,298.44,2.81,98.06, ,189.19,113.30,128.19,120.68,256.59,83.62,101.41,134.55, 
