Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117
43.85,118.94,55.21,264.06,79.85,293.54,86.41,150.98,213.17,161.04,127.74,1.58,28.55,53.39,155.41,96.44,130.73, ,185.94,154.31,156.68,238.79,76.84,293.28,71.16,96.70,185.00,268.04,278.83,160.10,251.24,51.59,291.30,40.75,43.80,122.49,185.49,42.78,219.28,198.00,93.31,256.89,244.99,85.03,20.76,178.96,105.70,122.49,197.51,274.23,58.30, ,243.79,184.56,77.29,104.13,13.93, ,292.25,249.54,267.64,22.42,242.29, ,64.78,274.66,199.35,286.32,57.76,154.09,136.24,162.94,299.10,39.21,169.12, ,246.41,243.55, ,185.84,274.42,22.07,178.65,165.04,217.50,95.07,165.12,2.97,171.68,204.93,25.78,293.92,20.46,242.58,241.86,86.25,79.05,165.35,29.75,122.66,253.19,18.85,149.03,146.36,23.88,231.59,125.33,48.69, ,291.27, ,119.69,128.23,29.67,156.44, ,279.09
277.15,25.53,45.85,241.81,71.23, ,120.89,223.65,264.22, ,99.32,280.55,233.94,50.33, ,109.76,14.82,228.64,141.96,257.48, ,24.04,259.01,81.43,245.83, ,139.58,140.97,92.41,179.23,211.97,7.43,58.24,138.16,233.88,10.98,169.43,215.40,235.90,211.39,183.41,54.99,274.26, ,66.67,147.52,269.56,45.80,12.50,129.44,1.93,10.37, ,287.26,108.95,46.26, ,229.68,291.48,157.00,220.96,245.02,262.04,22.74, ,35.25,35.30,77.81,45.00,123.85,79.78,255.42,253.15,55.72,183.38,292.90,229.36,15.84,178.61,20.57,136.28,262.34,90.45,16.45,11.25,167.71,73.11,217.08,15.03,162.15,281.20,269.23,71.62,208.39,215.49,136.68,284.78,223.36,139.18,210.69,80.10,241.46,201.52,179.47,131.34,114.97,196.67,23.10,69.26,218.51, ,55.20,145.24,259.88, ,199.68, 
279.78,85.28,111.08,12.46,75.17,142.60,250.75,210.81,296.06, ,280.81, ,17.33,46.97,68.46,176.89,184.20,109.17,289.67,213.30,247.88, , ,176.17,17.27,226.00,229.28, ,232.03,11.47,3.27,148.48,165.57,227.84,157.27,11.91,110.62,25.40,70.27,275.26,133.14, ,146.46,66.79,223.56,152.06,26.37,152.06,6.30,297.85,57.43,40.46,5.79,160.35,124.78,80.13,109.36, ,255.82,272.03,57.46, ,61.04,89.22,91.50,113.26,124.07,284.53,5.65,219.04,95.20, ,175.33,251.58,151.07,151.61,3.81,118.23,270.10,41.51,231.23,296.46,261.09,5.12,172.81,44.66,90.64,181.03,34.31,283.67,40.01,8.48,44.34, ,14.44,37.62,197.67,194.11,135.74,223.37,234.08,6.02,9.45,153.93,128.81,259.09,26.55,22.67,138.71,66.48,115.83,50.80,278.75, , ,6.17,75.84
73.94,213.15,176.37,58.80,53.62,19.36,112.26,150.53,191.41,104.13,21.12,20.74,99.83,114.35,107.63,46.26,272.06,264.95,26.49,153.60,41.65,160.27,214.99,104.88,227.82,113.65,63.93,248.80,86.88, ,194.51,16.01,225.39,41.03, , ,227.41,106.43,242.29,15.36,65.21,180.91,235.41,38.14,78.65,156.68, ,51.18,187.67,20.51, ,94.32,233.07,247.01,122.10,299.83, ,65.04,23.30,194.62,77.40,231.79,121.09,150.95,168.70,299.54,201.71,283.53,100.89,13.72,127.35,140.21,45.41,224.03,244.50,221.86,83.07,1.19,227.24,76.44,190.76,285.15,243.80,159.17,273.93,185.07, ,25.28, ,230.53,190.03,108.77,196.93, ,198.13,192.78,172.44,241.02,273.87,192.21,192.66,216.47,121.97,141.45,83.84,77.79,152.79,182.74, ,74.58,47.88,123.00,43.03, ,291.45, , 
28.12,120.56,30.87,262.34,89.78,135.09,120.15,120.39,252.56,77.47, ,248.05,116.18,117.51,282.52,228.02,231.22,286.74,224.21, ,96.53, , ,186.63,219.50,7.36,277.17,54.86,32.88,111.38,178.16,6.48,194.76,12.48,159.41, ,88.68,108.85,210.77,294.37,259.97, ,132.04,7.44,273.75, ,85.13,125.70,70.76,246.64,219.43,102.83,47.06,134.16,299.25,196.38,260.18,295.00,288.40,190.23,247.31,122.84,294.82,84.32, ,30.95,74.93,111.83,112.76,16.81, ,61.74, ,21.92, ,204.72, ,94.95,212.07,7.94,20.32, ,85.89,59.78,186.90,206.72,238.25,86.36, ,148.10,208.86,93.39,74.74,164.84,288.29,195.18,21.43,252.71,1.39,110.04,251.58, ,21.13, ,107.49,125.72,152.66,125.60,234.66,49.24,70.02,176.41,33.77,180.70,248.10,51.17,278.37
293.65,23.88, , ,248.10,86.96,54.73,46.81,112.90,88.88,133.59,148.13,163.13,153.85,210.92,169.36,207.77,170.66,30.42,63.02,85.23,79.27,62.54,129.34,222.13,58.37,183.51,223.09,235.33,157.87,281.95,35.54,190.24,121.36, , ,199.18,34.36,196.47, ,25.81, ,244.02,82.39,237.22, ,172.55,32.05, ,59.29,254.06,260.53,170.20,259.81,288.32,47.83, ,152.36,63.42, ,94.14,282.15,266.90, ,49.30,222.70,247.67,67.72,237.56,67.40,102.95,157.69,184.61,188.19,253.06,216.00,45.75,89.83,144.32,281.01,134.54,7.28,180.75, ,118.31,46.81,21.09,145.37,68.19,6.40, ,258.01,248.59,198.58,80.86,284.58,236.52,265.58,201.32,18.79,264.64,227.53,258.01,97.69,179.30,82.62,126.44,5.62,44.39,113.45,247.09, ,183.61,152.71,118.45,146.19, 
83.12,216.01,37.82,117.35,299.23,201.58,240.60,200.70,111.39,110.25,112.17,242.09,150.09,147.76,215.68,112.82,73.65,39.93,42.52,28.60,57.25, ,297.85,68.13,248.76,93.10,194.46,249.34,240.57, ,89.70,218.47,233.31,231.34,103.60, ,132.19,187.76,183.05, ,251.18,148.51,261.56,227.92,105.09,292.61,223.22,58.42,284.84,133.81,264.96,190.04, ,205.66,131.97,168.85, ,37.31,73.35,35.97, ,141.05,43.53,76.18,23.39,110.68,51.67,280.07,216.90,58.68,58.78,211.26,222.36,264.93,24.49,138.55,14.71,178.73,244.57,184.08,172.78, ,224.46,263.15,238.51,272.21, ,162.85,25.09,223.46,187.79,253.82, ,268.54,152.46,250.51,210.86,280.16, ,204.61,164.69,165.75,90.35,0.86,199.13,38.42,15.97,70.54,252.55,238.34,196.72,209.01,175.97,284.25,29.02,8.83,7.01
97.10,101.38,50.57,123.91,123.10,15.21,109.68,237.91,226.26,13.12,138.73,262.74,270.69,11.84,185.48, , ,116.22,80.54,255.97,255.79,44.32,272.71,238.76,202.01,45.24,0.28,104.23,6.95, ,18.79,140.26,208.52,153.86,203.38, , ,276.44,152.15,171.74,186.19, ,51.21,123.30, ,227.53,18.52,269.29,56.88, , ,232.39,129.38,249.47,243.59,148.36,173.35,101.88, ,10.04,230.05,162.23,60.87,260.13,146.02,120.21,72.39,187.96,214.99,250.67,267.32,12.69,49.93,164.94,135.25,220.21,8.32,6.91,259.18,132.52,264.48,60.77, ,248.73,253.33,288.75,239.78,130.36,215.25,167.76,298.40,244.93,51.07,70.60,286.55,252.79,2.13,152.52, ,101.25,197.19,65.82,13.49,145.21,146.40, ,171.13, ,116.06,277.90,141.05,129.99,50.95,180.83,74.27,200.33,296.92
249.24,112.37,293.89,279.04, ,163.12,272.70,127.48,67.85,184.20,100.91,216.97,243.74,96.92,73.77,160.49, ,223.23,184.40,241.24,57.41,26.57,179.88,196.30,184.36,107.23,268.13,267.34,113.86, ,277.44,60.14,85.84, ,69.50,278.27,29.66,217.93,104.50,172.74, , ,168.02,107.49,298.20,126.93,215.62,89.50,274.78,216.01,288.58,122.82,296.26,2.52,208.71,12.00,107.82,138.56,160.91,112.00,20.88,271.17,153.56,66.67,288.09,84.94,268.19,243.51,60.24,178.64, ,190.64,160.87,188.97,84.40,248.71,155.91,214.67,41.20,159.07,263.42,254.48,109.94,183.60,222.48,253.04,182.68,241.84,67.17,180.26,265.83, ,121.73,9.73,57.81,73.21, ,214.96,188.57, ,72.16,266.55,52.34,84.47,99.82,263.19,8.27,196.46,209.82,153.85,232.33,204.62,139.01,220.50, ,245.41,113.83
 ,15.63,189.46,293.07, ,256.26,236.38,116.36,280.84,227.47,66.88,105.02,278.13,292.92,299.80,63.88,283.05,129.26,284.81,73.17,157.46, ,93.84,10.35,81.30,94.93,211.78,86.72,212.17,277.13,44.65,275.02,198.51,287.55,55.18,51.77,74.37, , ,181.66,35.67,78.51,244.65,64.65,274.50,76.23,187.96,167.08,279.17,233.35,44.19, ,95.96,257.99,241.06,58.82,161.87,253.18,266.43,57.12,217.97,74.03,221.89,36.67,174.08,18.22, ,6.76,242.42,282.40,265.62,178.41,270.47,93.46,166.61, ,164.41,53.99,124.49,133.35,60.75,263.42,148.22,85.73, ,110.29,171.88,263.64,216.19,250.48,197.04,46.58,281.50,271.09, ,246.97,287.13,60.72, ,208.94,172.44, ,282.73,284.61, , ,274.82,285.38,31.40,31.05,83.96,219.59, ,166.56,145.63,117.90,260.98
