Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144
206.15, ,112.65,186.38,296.68,86.25,166.40,69.23,67.27,290.73,16.73,27.12,13.18,189.05,49.56,276.49,9.49,4.77,299.84,240.28,92.64,69.37,96.26,241.01,154.58,194.45,78.20,133.55,197.22, ,246.78,291.47,135.44,173.58, ,64.73,166.04,224.39,116.40,74.01,184.17,289.15,99.91, ,233.46,197.41,173.70,82.00,12.99,34.85,175.02,251.31,70.43,297.26,225.08,79.85, ,8.45, ,108.35,280.88,197.71,297.87,22.47,236.58,297.31,222.04,175.81,245.21,282.02,252.08,260.38,189.59,40.38,143.15,200.23,190.54,2.32,169.36,268.28,60.25,77.36,137.92, ,83.13,137.66,151.49,285.97,234.35,223.80,291.58,295.83,263.06,117.92,263.13,119.74,202.96,146.43,223.25,40.88,299.02,31.97,223.30,33.93, ,257.73,157.96,249.07,293.31,91.49,5.98,264.53,137.16,221.49, ,21.09,279.49,241.82,170.63, , ,22.77,162.28, ,192.54,27.32,267.94,30.63,53.01,48.97,45.02,212.57,291.56,297.63,217.68,182.30,38.51,105.57,249.14,288.07,6.68,27.53,134.20,248.54
53.32,77.39,267.97,116.46,265.82,271.20,123.19,266.30,240.36,96.01,153.45,31.18,99.47,134.74, ,83.28,170.18,198.27,48.76,84.97,154.06,279.49,22.25,3.85,73.35,279.96,229.17,294.02, ,52.72,97.17,7.33, ,88.12,8.27,4.57,145.17,292.30,196.18,257.66,198.50,275.76,293.85,242.49,294.23,40.60,203.16,225.61,249.94,237.54,150.61,51.45,100.73,120.45,58.30,196.95,109.11,135.25,77.63,90.84,183.73,290.14,41.62,208.10,229.48,249.78,87.76,75.86,44.98,185.41,274.42,60.08,255.06,186.50,273.08,104.56,108.78,243.70,10.46,141.97,297.45,20.01,92.98,273.71,292.19,241.24,241.47,50.14,196.65,229.23,213.98,26.54,128.49,173.17,122.04,78.88,106.89,204.71,194.77,37.83,37.53,153.58,280.39,175.53,140.37,46.77,138.55,77.11,43.56,105.99,265.41,285.10,283.77,272.17,68.22,65.51,289.07,84.75,122.82,146.50,65.05,17.53, ,94.64, ,44.92,175.75,161.51,82.63,50.66,23.83,64.80,224.63,8.43,23.33,269.67,94.43,63.10,238.32,206.60,39.84,85.61, ,247.12
44.48,127.09,116.23,164.09,170.61,214.01,241.29,149.66,139.69,174.22,122.71, ,231.68,109.78,159.34,264.41,116.11,62.88,173.04,79.49,179.45,292.62,238.74,209.11,177.56,224.08,216.21,287.47,71.74,165.17,168.87,166.87,186.39,200.38,238.59,138.05,277.32,177.49,168.54,265.91, ,189.99, ,17.98,244.19,260.04,20.81,238.95,113.90,117.42,184.77,294.15,174.06,153.48,187.53,138.15,68.14,43.42,114.55,106.25,151.12,168.11,195.21,59.60,232.39,23.40,233.04,139.98,289.02,158.64,15.49,29.99,15.03, , ,134.81,188.32, ,56.42,94.85,217.46, , ,127.36,27.52,53.00,133.94,293.26,61.95,40.48,5.08,172.65,248.69,22.98,205.62,92.48,242.88,104.43,104.43, ,131.96,4.78,210.65,259.83,113.19,261.62,254.96, ,89.62,137.39,258.82,192.00,43.48,61.25, ,165.68,125.40,156.42,264.21,181.41, ,294.60,249.84, ,25.34,218.51,222.16, ,265.17,59.67,57.99,156.55,286.60,57.00,92.67,248.45,68.59,147.95,46.43,16.54,123.13,93.84,23.46,181.03
48.06,297.27, ,153.82, ,90.07,32.46, ,280.92,50.42,190.44,199.85,130.15,111.36,169.01,254.92,165.06, , ,240.81, ,94.63,215.61,280.37,67.45,228.99,12.63,0.37,282.26,256.39,99.96,226.44,142.76,249.05,262.40,27.12,222.20,296.17,6.46,85.87, , ,183.85,97.26, ,79.52,34.00,272.79,63.39,64.62,5.82,246.18, , ,282.84,52.81,6.26,206.51,268.09,264.03,18.63,297.08,21.09,235.10,252.94,50.65,282.27, ,228.45, ,285.09,46.33,220.59,67.26,132.77,48.47,254.82,245.07,165.26,282.98,260.03,98.85,253.47,67.15,9.56, ,294.66,214.81,204.79,99.82,100.18,80.37,89.98,142.05,12.73,24.86,68.24,211.93,214.25,146.06,2.61,204.69,14.52,29.83,86.90,251.21,264.81,84.06,179.05,96.68,34.32,4.86,82.31,181.47,209.84,32.77,57.85, , ,56.96,291.69,69.19,30.94,274.48,88.80,41.11,45.30,7.02,178.00,266.96, ,176.79,118.67,144.86,298.96,113.09,208.92,7.69,287.89, , ,130.50, ,15.98
219.44,75.30,112.33,156.91, ,243.91,8.29,73.03,6.00,245.75,143.07,66.75,295.13, ,125.63,77.85,198.02,164.62,94.73,15.58,175.18,195.55,242.92,265.10,290.33,195.92,294.29, ,125.25,165.06,270.12,136.95,235.97,276.35,228.98,224.88,128.48, ,20.56,60.49,52.60,136.88, ,131.17,228.08,242.35,15.51,131.09,24.21, ,0.57,215.69, ,96.31,60.74,102.91,232.96,215.77,225.44,239.85,262.15,13.02, ,28.53,92.15,141.19,167.72,135.57,95.63,179.72,97.54,280.89,285.15, ,268.93,40.76, ,2.91,64.52,37.76,24.40,274.06,289.13,7.36,225.19,161.49,280.97,157.10,219.73,31.31,111.18,136.97,77.70,96.66,47.30,235.27,264.34,237.30,51.10,78.16,47.65, ,28.62, ,290.48,80.54,214.62,47.98, ,125.68,8.34,238.76,203.17, ,112.50, ,163.60,138.71,240.08,221.08,277.04,259.18,239.92,10.07,28.94,43.33,253.11,122.52,194.42,202.34,138.20,62.07,42.54,141.69,279.15,251.32,222.15,51.64,191.46,293.72,123.35,75.02,88.72,268.34
223.24,284.66,20.79, ,63.33,204.92,226.66,297.28,189.84,234.48,99.24, ,19.64, ,94.66,171.41,164.34,215.45,139.20,55.82,40.12,133.44,165.10,212.73,242.94,70.16,154.50,173.60, ,293.13,283.71,154.23,53.48,191.36,147.98,144.32,208.37,167.35,128.58,66.15,170.38,61.12,23.22, ,223.36,214.53,103.28,60.42,157.15,270.56,217.18,89.98,47.18,118.45,182.03,266.73,216.28,234.12,158.68,185.47, ,100.00,87.49,48.65,60.82,137.23,35.03,96.46,23.22,104.58,31.95,190.54,66.76,139.06,184.68, ,266.73,16.31,75.40,3.60,280.79,79.32,156.49, ,142.62,233.66,2.39,97.68,170.56,218.93,195.28,13.33,70.34,127.89,76.64,28.90,28.66, ,15.93,153.40,149.45, , ,234.37,194.33,169.50,46.23,254.05, ,65.63,193.69,245.47,241.39,289.05,124.72,285.98,240.50,281.00,118.97,106.84, ,234.14,30.76,166.53,130.20,50.44,252.66,295.86,185.36,212.04,94.94,141.38,239.64,207.49,46.00,218.96,257.13,151.32,133.45,272.70, ,23.15,29.49,9.90
152.48,164.52,75.07,149.26,103.30,209.05,122.29,134.37,151.33,137.52,120.91,111.92,232.19,98.61,102.19,214.15, ,78.67,163.70,111.81,45.63,74.31,10.38,95.40,119.83,134.10,203.77,70.98,221.67,86.95,8.24,97.50, ,176.17,147.79,37.26,164.13,87.36,235.74,220.57,175.69,66.43,207.20,205.72,277.56,282.50,120.02,258.41,162.05,8.39, ,45.65,117.22,110.25,206.75,162.96,41.80,205.50,73.59,82.27,238.97,251.64,14.06, ,96.99,192.88,1.50,151.02,263.19,134.64,28.78,68.54,42.56,73.37,8.53,1.37,273.74,229.31,209.48,131.91,50.56,111.84,170.75,76.45,84.89,39.52,211.84,281.54,43.00,173.50,89.68,29.19,70.30,137.03,17.41,286.24,293.72,120.02,60.94, ,145.84,37.93,19.39,241.06,188.99, ,240.51,22.17,149.06,228.21,72.24,255.03, ,248.75,133.60,217.50,111.64,137.61,22.86,295.55,130.80,259.88,125.05, ,94.76,92.74,180.66,268.58,223.46,84.44,115.75,297.53, ,60.87,158.86,140.44,47.64,38.95,249.34,53.03,258.76,42.34,128.26,250.30
130.78,48.38, , ,208.33, ,269.19,114.20,17.90, ,289.14,108.06,171.58,188.08,108.69,112.06,137.74, ,268.52,249.26,43.02,87.65,150.65,114.51, ,132.41,210.30,241.04,60.03,179.45,242.96,178.54,225.08,117.38,284.80,75.22,155.22,251.77,121.17, ,86.02,39.19,28.67,260.54,220.78,226.49,16.11,47.44,139.71,188.51,48.53, ,212.65,11.42, ,132.59, ,218.62,194.16,20.07,198.65,275.69,293.59,287.92,192.03,47.92,247.55,4.28,54.48,104.16,81.36,198.49,207.30,245.80, ,265.87,253.86,132.06,26.56,213.58, ,272.63,124.44,296.29,168.43,45.66,116.66,24.94,81.42,132.25,33.70,293.09,141.32,22.13,52.62,280.57,167.45,270.10,173.38, ,41.81,166.27,133.82,39.35, ,271.59,101.94,168.68,195.37,121.10,76.99,216.27,161.12,10.75,75.61,97.62,225.93,62.50,248.59, ,97.55,251.28,232.46, ,27.49, ,148.59,34.43, ,91.98,69.42,14.66,286.85,41.26,227.05,153.13,159.55,273.19,84.10,222.53, ,250.02,256.85,262.07
120.92,83.26,17.20,19.00,172.84,203.49,58.32,238.76,166.81,207.16,155.68,79.40,258.52,89.00,128.03,206.65,298.84,253.29,175.89,178.28,103.57, ,161.90,73.12,255.83,3.02,0.38,192.10,220.66,285.75,49.55,42.67,35.66,251.79,208.46, ,257.19, ,91.55,100.77, ,56.60,288.42,9.74,61.41,171.21,192.24,32.49,49.91, ,82.48,16.41,206.85,248.13,258.14,124.06,204.34,115.51,97.89, ,48.45,129.94,29.15, ,61.64,276.81,215.94,75.39, ,282.25,298.37, ,38.05,195.81,150.28, , , , ,296.61,209.48,71.51,143.17, , ,225.77,179.27,31.17,283.41,227.87,46.81,240.98,208.31,253.94,39.43,143.95,292.44,252.32,285.08,197.11,215.47,266.78,124.05,24.25, ,252.13,254.69,248.61,126.36,151.25,79.30,34.72,93.77,67.65,73.23,54.83,78.62, ,173.36,205.94, ,113.81,116.86,67.79,265.81,105.34,84.92,218.40,299.98,207.79,169.89,230.77,222.21,102.44,182.76,36.13, ,149.94,30.28,297.91,184.26,201.09,276.98,219.72
85.70,4.40,101.78,84.11,207.64,128.94,276.26, ,56.64,223.90,176.84,284.67,26.60,173.68,153.72,247.65,45.11,254.74,281.31,282.55, ,76.05,185.63,69.89,108.95,183.48,93.29,80.38, ,257.12,80.35,198.96,61.18,207.53,142.51,256.09,196.66,201.11,289.52,103.31,62.38,132.58,113.05,238.47,210.84,118.48,6.42,19.18,261.50,83.52,115.55, ,12.21,130.18,133.01,148.94,145.98,214.70,281.75,242.53,283.94,279.17,144.54,294.31,258.11,295.66,36.56,291.19, ,121.37, ,204.97,93.88, ,8.58,93.80,297.55,65.63,233.65,280.21,35.06, ,256.07, ,292.64, , ,102.05, ,113.82,79.16, ,191.21,73.98, ,71.53,63.59,173.14,187.41,139.41,291.75,267.78,88.12,183.91,293.11,265.35,214.95,14.63,235.72,7.90,228.88,160.21,286.64,96.82,136.74,253.82,31.71,70.74,112.65,249.37,201.59,212.69,259.23,50.46,158.23,115.68,137.79,79.59,9.24,298.48, ,252.30,144.36,45.22,286.54,213.55,201.44,4.99,87.50,68.44,90.53,98.13,264.59,257.24
