Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79
243.44,259.09,142.82,12.73,214.27,198.17,255.12,255.90, ,45.35,175.88,223.68,166.36,17.84,203.99,80.56,171.53,40.03,40.78,216.90,151.74,15.59,11.53,174.56,99.10,262.38,0.39,130.09, ,147.92,88.27,237.26,247.54,209.24,175.99,68.60,298.45,9.02,136.54,91.66, ,11.57, ,11.96,134.86,118.74,35.40,58.80,76.22,107.88,158.04,132.17,277.30,51.66,47.73,217.01,274.21,150.96,251.59,257.08,41.62,69.24,282.83,49.68,134.37,44.50,141.44,219.05,7.31,105.05,158.90,194.44,268.87,155.73,208.32,6.92, ,76.17,171.45
76.65,38.58,275.00,75.65,250.05,158.98,299.43,79.66, ,212.78,153.86,210.83,181.32, ,69.94,39.09,198.13,171.89,49.95,267.71,298.57,19.99,138.51,71.58,40.91,130.94,33.90,242.11,80.77,108.21,153.79,92.11,263.03,288.64,110.89,138.58, ,158.56,12.61,38.59,218.89,61.72,252.53,192.28,41.93,156.81,205.94,284.75,267.14,246.50,59.64,118.69,76.95,136.12,155.24,20.33,93.34,24.30,43.21,94.47,268.72,277.79,255.39,132.52,211.30,202.64,281.87,140.05,298.59,148.37,150.87,227.96,250.73,290.07,168.84,79.09,35.82,12.21,19.42
213.74, ,116.38,205.62,41.71,136.30,112.80,168.75,218.09,232.22,103.02,39.18,5.25,223.38,188.95,81.56,128.33, ,244.70,163.06,255.65,218.71,240.28,142.26,126.93,153.99,58.24,36.45,85.41,169.18, ,83.76,135.83,241.37,156.79,256.33,110.96,157.92,24.09,226.74,193.68,99.85,240.20,227.40,265.42, ,112.96,138.93, ,51.02,171.85,138.74,147.02, ,4.94,236.08, ,181.95,142.88,156.33,161.81,269.07,224.33,240.19,163.17,245.65,265.68,122.01,245.67,54.11,273.97,93.74,49.21,11.04,257.48,275.16,251.10,246.52,268.47
42.50,168.95,45.84,105.64,239.04,136.88, ,110.86,2.71,130.66,167.57,235.88,297.90,286.04,1.70,210.59,203.96, ,192.11,191.99,255.91,49.06,124.19, ,205.64,60.18,239.15,59.04,262.68,230.21,299.06, ,209.66,14.14,177.67, ,69.66,295.87,253.05, ,211.09,230.52,52.49,110.99,25.85,242.91,216.23,81.85,1.80,268.45,243.39,222.18, ,126.17,116.46,67.87, , ,71.85, ,38.66,92.91,259.15,147.30,227.45,23.51,220.65,245.19, ,167.37,53.84,126.59,72.75,11.64,254.65,225.21,122.15,160.24,157.48
33.96,123.52,56.37,183.75,297.96,186.39,195.17,158.86,110.53,216.22,294.67,205.66,238.19,118.21,214.47,294.49,8.56,211.54,170.78,113.25,143.08,34.07,239.87,60.01,124.54,172.58,147.09,39.09,106.05,183.70,133.01,268.95,296.21,206.49,275.78,35.74, ,69.81,259.26,217.11,87.28,182.24,40.42,245.59,66.52,9.40,235.91,55.99,183.80,283.97,212.27,86.53,23.10,188.23,119.08,292.02,298.67,112.85,134.74,164.79,161.34,288.30,61.78,174.72,280.78, ,193.05,82.91, ,239.25,167.85,217.74,264.69,34.13,255.50,135.99,70.13,294.47,94.58
102.72,1.83,127.99,276.55,81.12,175.88,13.12,78.70,203.59, ,237.71,102.77,256.92,176.71,217.53,48.83,37.86,275.61,146.11,97.92,54.95,12.37,11.76,154.02,259.68,89.89,18.34,3.98,115.72,229.50,115.82,7.03,296.46,275.04,256.47,279.07,71.60,86.73,47.54,25.98,138.16,204.62,8.53, ,124.24,61.26,205.11, ,58.79, ,33.83,103.63,157.69,178.40,201.78, ,142.53,203.90,103.61,137.20,17.13, ,106.41,93.87,69.80,70.31,105.56,284.47,210.93, ,89.33,226.02, ,68.55,91.87,142.43,186.44,217.52,190.94
185.61,35.45,243.20,61.26,209.89,257.95,187.88,210.15,208.20,67.14,0.06,26.00,59.40,97.05, ,287.99,253.46,36.29,215.99,270.13,51.94,222.69,203.74,82.91,113.08,150.05, ,9.05,186.71,28.29,45.36,271.75,49.59,82.49,160.55,228.58,276.47,47.99,148.18, ,231.09,276.30,155.79,90.19, ,158.64, ,204.00,162.74,145.62,32.70,267.83, ,93.13,277.10,82.94, , ,56.38,291.39,15.71,227.71,219.12,287.25,290.36,272.84,228.91,273.26,47.96,65.65,164.21,282.20,168.04,262.24, ,253.63,251.83,289.66,184.66
226.42, ,9.71,6.94,47.74,271.61,210.70,236.80,80.02,22.05, ,284.29,231.30,234.43,203.46,122.30,0.10,82.89, ,50.50,297.04,53.61,193.94,5.91,39.21,49.74,33.99,45.56,276.23,140.91,186.95,281.66,65.10,57.95,88.81,204.99,206.69,54.51,222.91,231.37,146.36,23.39,26.04,86.83,52.43,161.63,292.73,214.45, ,272.40,262.49,94.39,287.54,102.86,275.90,19.55,9.64, ,189.99,30.37, ,82.80,190.61,197.28,236.63,207.59,144.50,289.88,218.44,291.88, ,267.78,85.16,194.22,167.22,112.54,61.03,280.39,32.13
162.87,239.19,273.64,262.47,138.10,62.17,193.24, ,161.01,266.29,162.27,234.03,164.66,7.52,112.00,38.31,135.97,53.76,78.00,216.42,40.09,283.90,11.02,36.75,35.41,238.85,55.16,144.18,4.50,226.00,124.80, ,260.78,284.84,146.67,131.14,226.90,52.30,259.94,119.27,155.08,70.82,177.48,196.94,248.20,23.30,173.44,295.78,56.28,48.94,167.43,271.35,129.01,176.85,143.31,220.93,118.43,51.15,235.45,93.21,296.73,248.36,104.12, ,160.40,53.33,92.18,34.71,62.42,63.37,201.67,72.29,177.92,251.21,299.50,267.04,196.03,131.51,187.66
 ,48.05,123.91,92.57,146.11,119.74,42.45, ,101.93, ,279.86,257.41,106.93, ,290.08,204.26,118.94,197.23,139.97,13.43,290.19,97.48,190.48,11.72,108.09,204.98,93.51,71.69,119.36,67.91,281.14,231.03,64.09,289.60, ,3.03,16.08,252.92,264.26,297.07, , ,30.83,204.23,248.94,162.60,219.34, ,191.51,258.55,31.33,159.66,251.18, , ,268.02,289.21,55.71,285.85,145.88,70.66,112.03,51.73,141.42,147.85,226.85,288.53,54.56,15.40,163.29,30.68,147.34,54.19,134.94,69.49,203.13,169.95,62.23,4.54
