Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44
95,85,76,61,34,42,73,45,50,56,60,29,24,90,4,57,45,15,99, ,34,55,56,88,0,68,56,28,93,29,13,0,17,28,43,52,89,20,58,59,4, ,61,87
89,29,9,33,17,51,20,9,47,18,75,53,32,92, ,79,66, ,99,23,7,9,98,16,27,24,58, ,11,6,27,70, ,37, , , ,40,76,77,80,52,35,12
75,56,48,80, ,50,57,66,24,15,12,71,78,0,13,79,92,51, ,14,16,10,35,66,23,26,15, ,63,66,68,81,76,40,54,42,97,24,56,63,47,92,80,53
19,8,0,36,64,5,57,32,69,51,81,91,80,93,1,5,66,8,4,44,21,88,98, ,67,85,60,84,81,82,70,48,94,99,67,5,65,26, ,48,21,63,87,98
45,58,37,36,81,27,67,48,36,30, ,78,79,23,93,92,33,28,96, ,24,57,40,23,29,93,41,38,31,25,38,17,46,37,73,26,50,50,8,79,34,97,24,78
80, ,19, , ,64,65,47,58,70,96,50,41,6,85,38,61,2,74,83,49, ,15,93, ,39,80,66,7,19,22,96,26,56,24,49,2,54,14, ,49,82,52,22
25,3,53,36,35,70,19,14,4,82,28,96,88,33,96,25, ,29,39,98,73,25,13,51,31,22,92,81,27,4,55,94,45,40,61,39,32,71,91,86,87,8,48,51
48,44,15,82,62,46,61,57,51,39,52,65,35,19, ,71,11,4,43,97,5,51,81,86,89, ,32,41,7,72,61,99,47,26, ,69,74,81,5,65, ,55,52,76
85,70, ,31,10,41,78,7,65,24,9,10,21,29,0,5,3,63,1,55,48,49,2,75,39,15,29,24,73,80,71,67,75,36,26,89,89,1,96,59,76,86,0, 
73,37,36,14,99,48,72,66,30,48,2,81,2,25,57, ,30,2,37,92,25,97,11,68, ,74,90,32,16,29,43, ,9, ,12,18,88,64,64,38,34, ,9,62
35,3,64,14,24,67,35,23,51,38,55,17,39, , ,17,34,27, ,91,38,8,9,97,36,24,10,82,20,53,72, ,65,4,74,85,67,66,37,26,16,34,9, 
 ,58,77,40,45,15,98,78,47,11,75,93,58,1,53,31,33,48,84, ,29,6,93,58,44,88,79,51,96, ,90,93,95,12, ,97,29,27,5,31,98,67,33,24
29, ,12,62,33,33,1,43,1,62,75,67,82, ,69,53,63,15,95, ,1,29,7,6,65,21, ,96,12,93,42, ,96,96, ,7,0,76,9,68,18, ,26,35
38, ,74, , , ,72,61,93,75,35,46,65,66,76,13,27,73,95,40,95, ,67, ,35,36,34,67,69,38,38,22,18,0,16, ,57,43,71,86,46,8,86,25
50,5,96,9, ,59,30,44,33,21,46,34,78,27,72,61,59,44,15,55,3,12,90,11,32,71, ,6,43,25,65,41,93,49,75,94,17,52,0,62,41,95,61,17
94, ,60,26,70, , , ,28,2, ,54,14,59,4,34,17,43, ,86,91,35,34,69, ,98,86,65,40,3,18,56,33,89,97,63,11,41,61,37,47,56,79,73
2,21,85,73,51,96,83,55,86, ,48,0,6,11,15,13,36,56,76,30,86,93,76,91,40,34,47,43,70,94,89,21,98,83,12, ,98, ,34,18,55,13,47,24
15,46,80,18,62, , ,92,59,91,29,50,50,7,96,24, ,39,92,97, , ,92,79,78,97,63,73,15,39,29,18,26,29,56,16, ,85,44,34,50,80,70,67
59,97,19,99,26,32, ,55, ,6, ,51,38,18,13,15,80,18,72, ,72,92,38,92,79,84,98,37,28,84,84,89, ,63,47,60,8,29,97,99, , ,17,1
59,35,52,15,99,27,19,99,12,40,15,96,70,17,52, ,11,30,38, ,88, ,15,34,3,3,55, ,93,42,72, ,24,46,65,77,17,92,48,62,98,97,78,47
46,48,61,61,87,21,84,57,32,60,57,63,90,58,14,74,94,70,31,42,38,71,62, , ,78,75,10,92,0,69,56,76,67,7,78,17, ,89,75, ,70,53, 
64,26,85,34,34,78, , ,93,3,63,57,62,71, ,69,49,46,29,20,46,41,99,71,20,28,80,21, ,55, ,58,22,77,42,81,13,84,52,81,8,40,66,86
54,44,38,34,11,30,18,17,39,85,85,15,69,31,77,25,16,91,72,15,37,37,59,87,56,90,40,36,62,46,87,70,40,57,87,95,20,80,88,78,41,86, ,23
37,37,79,47,49, ,61,14,22,90, , ,71, ,12,10,37,86,26,51,33,89,9,44,45,30,91, ,70,90,18,3,90,99,63,17,57,59,26,84,35,64,76, 
47,3,22,43,46,35,45,28,17,74,71,41,99,70,4,29,73,91,87,32,16,45,27,76,18,3,15,96,72,31,36,27, ,19,80,38,72,59,33,10,52,82,78,39
0,25,43,5,78,59,79,74,3,86, ,96,20,0,37,3,28,56,54,10,21,68,15, ,67,89,8,50,78,26,46,45,82,34,11,98,97,88,49,33,26,69,81,61
29,0,41,53,2,12,64,34,45,40,78,11,98,40,1,38,88,6,85,54,48,2,78,75,59,19,90,43,12,68,84, ,72,50,32,57,59,23, ,59,28,64,57, 
0,90,12,68, ,41, ,44,10,18,26,43,0,58,56,77,84,55,61,79,87, ,52,15,37,68,43,51,10,32,99,7,22,66,47,77,21,48,32,23,81,78,1,99
72,41,69,82,34,89,82,58,71,77,71,74,92,77, ,76,55,46,77,9,29,58,40,70,97, ,1,22,1,29,8,55,67,60, ,55,11,62,96, ,66,93,67,92
71,4,72,13,26,92,75,42,46,42,24,13,91,35,1,49,21,74,66,22,68,81,50,24, ,66, ,11,68,33,62,31,7,65,47,69,26, ,7,35,6,83,45,84
28, ,31,40,61,16,29,59,33,36,93,53,25, , ,31,83,96,10,21,91,98,10,71,26,56,23,81,74,61,6,49,96,61,74,57,66,74,84, , ,51,74,53
 ,27,11,69,59,1,20,79,65,69,20,5,94,17,90,52,41, ,53, ,58,37,54,67,60,80,53,77,66,75,70,75,11,1,71,99, , ,89,94,28,89,86,9
2,35,61,43,27,54,75,21,56,12, ,7,85,93,49,3,39,48,41,61,82,33,92,33,15,80,51,64,50,30,94,12,15,52,15,35,30,10,28,91,38,6,59,26
29,10,91,58,84,64,24,98,69,79,52,42,43,81,20,14,64,72,47, ,32,27,66,32,96,2,93,37,17,66,6,35, ,60,94, ,57,1,74,12,91,47,3,67
26,27,7,66,89,3,99,76,53, ,27, ,34,63,30,23,8,84, ,91,8,59,39,12,52,5,11,76,67,30,44,73,7,27,65,13,53,87, ,99,1,49,81,8
