Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148
21.39,273.58, ,39.63,153.50, ,134.24,196.22,95.68,89.95,157.61,231.55, ,139.50,29.06,292.44,34.51,208.24,232.56,280.32,171.66,246.81,268.05,134.58, ,240.60,46.83,255.00,133.71,117.88,9.20,192.68,6.45,104.29, , ,104.09, ,237.91, ,205.96,113.25,90.84,101.19,152.05, ,285.76,233.93,45.53,78.68,212.32,45.86,14.57,140.19,254.81,74.24,284.06,46.72,164.28,193.86,252.61,117.99,286.38,124.37,257.79,273.48,133.39,206.20,233.84,218.97,124.49,122.12,66.65,201.21,269.40,232.86,45.12,160.37,102.76, ,60.55,36.89,21.16,136.87,290.07,88.09, ,81.29,116.30,169.67, ,139.06,11.73,157.69,221.43,165.34,252.60,93.94,156.55,45.72,284.23,176.68, ,184.42,215.33,1.55,18.23,224.06, ,285.13,154.71,177.68, ,130.29,206.66, ,21.77,95.91, ,272.58, ,157.01,31.12,233.46,175.95,40.19,106.01,295.25, ,172.93,44.60, ,251.26,29.19,288.49,279.02,97.69,5.57, ,36.70,222.69, ,236.56,295.13, ,290.38,150.20,284.05
166.52, ,289.52,119.08,65.05,167.79,155.42,117.43, , ,67.34,218.23,255.89,46.47,203.73,24.42,33.80, ,244.55, ,184.49,201.08,282.45,112.27,242.24,282.51, , ,215.17,53.74,291.13,45.28,149.96,261.90,288.91,128.30,118.54,238.53,262.34,88.49,58.84,4.31,183.02,91.19,241.64,269.26,245.14,127.64, ,89.54,73.15,107.16,103.54,65.86,82.29,211.66,45.67,161.21,125.41,178.21,266.71,192.87,268.28,27.13,291.65,42.24,101.68,192.13,269.35,28.39,244.83,208.54, ,69.75,7.84,255.73, ,278.87,261.03,31.74,10.54,104.83,88.19,202.17, ,171.52,140.12,183.14,131.69,262.60,251.16,296.26,201.89,185.75, ,132.91, ,143.45,111.82,169.52,98.39,130.07,88.16,193.07,50.36,144.94, ,96.10,222.46, ,280.26,211.50,21.65,6.07,50.79,61.31,136.22,70.16,129.62, ,22.68,286.86,274.55,273.63,283.21,73.64,176.35,80.00,284.02,181.51,100.25,210.42,135.62,90.72,199.74,38.41,78.65,269.86,25.08,123.86,139.59,176.79,159.87,191.38,6.25,293.00,72.28,127.06
273.55,9.82,166.82,95.71,73.49,298.68,9.07,106.86,20.04,164.60, ,55.98,246.70,16.79,201.15,180.25, ,98.03,67.04, ,162.75,240.60,209.01,237.40,146.04,51.60,250.67,70.13,255.30,135.52,70.02,192.30,145.73,48.31,153.10,131.72,223.50,244.18,111.49,164.06,267.64,87.22,147.16,224.96,174.18,74.55,97.16,194.48,52.91,207.50,255.96,221.86,111.54,11.96,47.62, ,15.26,267.77,238.85,158.53, ,219.02,243.51,82.72,259.07,80.78, ,36.74,263.49,17.33,228.16,177.15,120.91,195.87,125.98,213.81,176.03,203.53,156.62,74.61,178.78,75.39,251.86,251.14,28.32,44.87,208.83,60.66,114.43,118.42,91.25,224.94,245.34,259.18,48.18, ,226.95,171.95,195.88,223.45,12.39,156.10,100.75,29.53,192.56, ,132.98, , ,44.60, ,3.78,234.56,124.99,281.59,133.82,281.01,288.69,249.19,262.27,222.91,180.43,277.87,248.44, ,6.35,36.96, ,65.39,141.14,288.81,187.31,0.19, ,288.88,129.08,123.99,56.58,59.45,93.67, ,148.86,126.85,36.22,52.23,146.88,291.99,16.10
258.31,47.62, ,209.34,138.85,146.30,149.13,67.49,94.54,91.66,14.83,130.03,92.54,181.29,223.62,2.02,275.28,150.54,23.50,80.76,93.20,57.79,132.81,185.12,13.26,21.15,17.09,62.50,82.82,95.55,260.76,109.36, ,259.90,139.40,130.27,112.97,59.55,190.13,240.43,198.09, ,226.18, ,288.68,72.62,139.49,193.23,188.42,52.96,178.77,168.09, ,281.07,253.65,256.50,276.80,36.58,212.60,128.31,251.44,275.02,11.73,77.14,242.51,1.76,85.17, , ,88.22,160.57,276.35,180.35,191.04,147.15,179.69,6.04,147.70,15.05,35.15,108.23,298.59,68.48,4.10,177.97,267.39,134.19,155.61,196.89,231.47,150.29,19.51,242.29,137.39,26.64,49.53,150.19,244.86,131.89,246.08, ,213.47,175.47,204.02, ,250.67,98.15, ,117.66,174.92, ,132.26,267.21,146.39,229.90,36.07,40.22,71.65,195.62,256.96,24.07, ,274.74,205.09,201.07,32.98,7.61, ,19.12,90.04,212.26,256.77,81.73,230.48,78.47,273.43,178.93,182.40,272.25,190.95,51.91,80.92,221.30,36.15,3.42,105.94,146.13,164.01
59.69,81.24,220.59,173.59,52.18,85.38,206.83,72.37,190.02,86.64,61.84,51.75,248.98,280.94,220.40,22.97,239.43,118.25,158.88,259.54,47.83,235.48,21.25,213.39,161.13, ,222.97,74.35,71.79,269.17,152.45,189.87,53.55,250.78,152.94,173.12,290.45,299.48, ,7.32,150.57,158.51,91.42,247.52,53.12,48.82,32.01, ,164.54,103.95, ,256.90,3.17,48.39,20.37,160.51,151.98,196.15,184.25,291.82,67.22,11.34,264.95,278.98,207.89,178.79,25.52,81.15,156.58,249.91,123.03,204.65,121.50,285.51,88.37,137.52,22.26,271.64,192.20,62.05,146.08,123.30,76.52, ,233.10,150.20,157.03,14.71,82.12,117.55,203.88,225.39,117.13,31.11,266.44,166.39,127.81,189.83,183.74,199.71,128.28,226.90,10.53,117.35,57.12,180.52, ,105.91,146.89,51.59,146.59,117.61,161.13,102.95,108.57,60.25,25.51,152.31,120.69,128.16,151.03,93.86,92.81, ,239.70,184.09,226.50,8.54,78.53,242.56,41.95,299.32,165.30,119.68,230.17,4.28,64.62,237.37,160.14,9.15,217.04,290.78,110.64,283.15,232.70,128.25,65.51, 
230.81,61.69,167.23, ,10.74,178.54,216.55,85.23,138.53,118.93,145.80,128.63,118.74,54.66,35.98, ,277.99,11.62,157.92,14.97,189.58,147.67,271.42,222.93,24.88,16.05, ,245.62,199.95,44.15,11.35,74.79,58.12,97.53,283.69,112.78,165.96,100.49,139.06,226.57,11.73,52.23,222.77, ,122.72,192.89,73.57,152.12, ,277.90,128.95,233.39,214.42,109.37,103.00,1.76,284.62,181.34,179.41,34.71, ,96.92,4.16,194.07,29.98,134.18,54.16, ,295.89,19.74,25.10,53.70,152.30,40.34,75.17, ,109.87, ,206.80,68.74,63.02,107.28, ,94.27,154.99,38.28,34.40,190.29,197.24,9.44, ,43.08,177.24,120.59,245.41,294.10,104.68,239.18,45.35,6.23,153.39,126.02,55.30,208.86,166.81,221.87,83.50,113.09, ,233.68,91.20,79.99, ,137.11,277.70,42.93,270.20,4.83,214.89,65.79,272.55,249.75,34.96,159.37,293.98,81.73,96.35,159.86,108.54,246.23,179.42,70.17,185.48,245.83,135.12, ,107.67, ,2.09,207.10,127.23, ,208.96,262.95,140.80,60.29,110.88, 
100.04,166.79,291.69,85.88,124.25,234.48,183.84,47.65,98.03,292.01,83.85,227.59,113.76,95.88,203.12,268.70,159.09,288.68,248.11,277.59,84.55,140.83,148.64,59.33,63.37,211.30,24.30,182.81, , ,89.59,221.09,137.40, ,126.09,141.89,208.56, ,120.63,253.60,243.56,215.94,64.28,154.14,266.12,226.64,15.64,31.48,74.52,16.92,294.97,110.18,156.45,180.83,79.51,246.35,147.36,29.99,289.52,0.22,221.08,152.88,243.09,173.45,53.25,285.90,138.25,243.84,120.51,271.78,259.10,223.09,80.41,18.10,137.21, ,58.30,178.44,188.26,168.47,116.04,191.76,197.09,108.10,108.35,163.56,191.87,231.46,162.09,16.42,21.76,257.57,279.90,75.07,198.81,74.03,2.37,179.11,253.64,91.25,219.99,70.36,36.50,110.18, ,126.59,208.12,88.18,141.23, ,9.40,6.78,137.85,49.23,208.62,4.18,64.86,254.68,36.02,137.05, ,23.41,20.38,134.11,219.71,32.74,284.74,289.74,293.58,117.40,207.52,14.72,185.12,162.07,274.91,157.39,43.03,93.89,112.34,171.95,203.35,15.00,60.42,256.26, ,73.66,211.16, 
118.55,18.17,99.39,133.88,114.18,137.58,240.30,136.07,281.96,16.94,227.51,1.71,131.38,257.44,216.51,275.20, ,293.37,29.81,149.56,100.62,124.17,266.77,144.76,56.06,95.96,111.70,54.73,4.71, ,200.64,104.29,11.66,169.21,64.51, ,51.10,203.37,264.97,249.37,249.15,293.92,58.44,218.45,101.09, ,54.01,149.85,299.64,193.00,188.85,24.51,8.62,269.13, ,139.26,55.49,138.68,133.53,155.02,10.30, ,183.56,98.94,168.41,194.92,267.43, , ,149.54,272.73,211.44,257.92,273.98,183.38,179.86,178.40,90.81,206.98, ,5.92,13.05,202.71,71.92,93.39,136.02, ,254.68,255.08,77.06,258.93,252.44, ,130.84, ,265.36,106.12,283.53,123.04,16.61,159.95,290.89,139.11,260.40,144.19,6.39,144.53,181.69,104.12,227.81,54.39,152.36,3.16,274.42,223.91,23.71, ,14.60, ,126.42,227.03,183.54,191.86,198.74,125.04, ,52.85,50.59,29.97,249.18,185.52,89.76,99.09,170.67,181.27,240.11,230.93,32.87,102.58,63.09,185.98,172.32,243.56,184.85,134.02,139.38,209.42, 
8.52,66.76,284.02,62.32, ,273.04,165.94,227.16, ,113.14,124.07,238.54, ,212.06,70.87,200.54,280.57,288.81,163.39,67.33,173.34,235.65,66.90,221.99,30.61,107.21, ,159.18,44.80,176.19,166.88, ,147.17,222.97,291.51,247.00,20.42,259.52,266.72,57.65,20.49, ,127.70,60.27,77.98,82.90,30.88,181.80,96.95,80.19,81.50,179.94,186.97,99.86,267.00,200.68,146.78,218.17,102.80, ,180.79,44.25, , ,16.76,90.98,51.80,188.25,203.86,105.33,128.46,171.14,149.05,101.52,245.01,240.79,37.36,6.96, , ,75.64,92.95,80.05,190.54,63.10,296.89,298.53, ,169.67,265.83,181.61,141.52, ,64.97,166.20,76.58,193.28,96.03,18.84,130.97,144.38,3.77,62.49,266.61,171.96,145.11,228.32,210.00,293.55,180.90, ,257.47,240.19,78.51,128.53,57.38, ,251.45, ,13.95,206.84,215.93,38.33, ,287.26,67.80,169.38,140.55,206.17,156.47,201.53, ,156.11,182.29,91.73, ,105.67,102.14,183.85,37.23,237.56,62.66,5.30,254.05,148.32,268.87,176.08,87.68
26.52,202.76,19.68,176.89,94.63,124.25,34.72,146.73,185.98,277.63,141.42,37.13,91.90, ,267.98,82.22,202.92, ,184.50,17.92,155.21,40.42,91.02,140.95,47.42,147.14,218.20, ,255.33,48.64,272.83,137.73,5.07,65.22,225.15,214.19,250.28,26.97,117.76,70.70,149.54,202.65,15.82,131.33,169.50,232.48,196.59,197.37,110.85,97.94,57.66,22.54,38.87,237.69,151.62,212.14,106.01,175.74,6.00,92.98,187.04,17.82, ,215.19,206.51,83.24,235.44,265.05, ,14.55, ,166.17,203.02,295.47,43.06,23.81,210.28,237.18,217.12,31.40,6.12,10.10,180.42, ,145.47,18.98,69.99,26.19,212.88,254.92,236.58, ,286.72,153.81,218.22,244.72, ,250.84,213.35,67.96,224.93, ,243.91,117.80, ,77.25,293.16,97.35,104.38,216.45,205.66,5.09,85.07,179.85,142.24,76.11,252.08,123.63, ,197.08,198.73,194.93,289.88,162.72,31.47,136.06,120.24,123.43,61.48,276.69, ,69.89,130.58,174.55,21.86,151.29,18.23,34.47,137.89,246.33,293.04,193.57,281.14,234.81, ,12.94,28.85,124.55
