Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82
164.35,76.43,283.79,155.52,253.53,148.64,76.01,179.07,235.18,114.59,290.57,178.13,183.49,21.95,241.56,73.99, ,150.42,94.47,269.46,39.06,50.12,14.07,158.00,266.19,211.36,96.59,277.90,83.57,234.44,38.50,35.31,254.62,258.34,271.26,250.58,165.85,289.26,31.71,276.68,253.27,97.66,88.12,262.35,172.50,133.01,40.73,55.40,54.05,44.46, ,295.04,107.39, ,287.31, ,263.99,125.43,123.00,240.15, ,111.84,34.43,282.05,113.17,70.53,51.18,192.53,110.02,100.11,253.06,133.21,51.41,250.64,281.56,143.60,263.56, ,298.00, ,73.16,270.66
180.66, ,73.19, ,1.36,174.46,202.09,79.63,166.22,156.95,156.19,27.89,255.98,117.75,212.27,169.70, ,50.37,293.28,219.33,124.92,236.43,236.08,158.97,110.32,46.54,45.43,285.99,3.06,282.94,177.32,29.02,208.46,265.02, ,184.35,27.86, ,107.19, ,266.16,254.55, ,212.64,137.62,66.01,163.68,300.00,222.80,101.26,108.41,32.99,250.63, , ,196.83,23.39,112.56,295.60,157.94,168.79,106.88,136.24,283.75, ,206.54,112.83,273.66,70.79,129.73,24.22,264.31,22.09,283.19,0.97,247.42,119.94,16.10,79.21,38.48,298.23,80.71
282.83,290.16,39.39,121.10,118.60,234.24,90.77,230.17,168.58,0.96,120.56,43.26,3.72,115.23,26.78,113.01,250.31,63.22,223.07,53.31,269.73,182.36,204.98,152.24,290.11,62.09,170.27,10.45,187.10,175.95,21.61, ,271.92, ,261.62,171.02,56.88,2.47,201.24, ,53.49, ,206.69,152.55,148.44,250.95,288.68, ,10.30,172.89,207.99,243.83, , , ,171.36,219.31,168.67,126.09,12.95,192.76,109.75, ,60.70,17.19,26.15, ,199.04,211.44,253.53,89.25,114.70,173.51, ,42.18,159.30,18.03,84.61,1.84,212.03,202.54,250.14
256.70,127.74,165.04,219.94,275.62,114.38,5.74,269.44,153.47,239.77,20.83, ,22.67,267.06,52.72, , ,152.98,109.16,154.00,39.32, ,171.55,207.38,116.46,225.21,5.57,141.42,189.35,49.08,163.50,92.25,169.65,212.76,182.83, ,178.35,166.29, ,134.35,120.32,233.72,220.73, ,62.15,99.84,14.77,122.11,231.62,18.72,94.65,188.12,189.93,198.28,215.98,190.56,261.62,206.58,62.10,217.64,111.56,82.85,156.85,275.40,86.85,93.77,171.44,8.31,48.35,117.58,47.89,237.19,149.51,16.65,289.64,35.86,251.77,227.55,23.67,197.10,197.07,292.02
272.75, ,21.10,247.46,254.80,222.62,105.12,280.96,56.04,52.58,167.03,84.80,194.97,172.75,184.81,297.50,136.37, ,157.47,30.67, , ,65.52,91.39,104.81,187.96,160.69, ,31.99,162.75,117.75,232.44, ,229.94,35.49,39.09,132.51, ,292.04,101.37,147.42,220.70,121.24,116.22,127.87,296.46,75.16,26.13,116.77,237.54,260.75,111.75,297.82,189.56,237.55,105.75, ,26.45,45.46,156.72,95.09,208.37,80.10,111.83,139.35,25.24,297.83,23.75,188.37, ,178.23,32.04,227.78,10.43,1.72, ,213.64,129.93,158.44,144.59, ,283.93
22.97,5.20,219.69,101.89,197.84,267.77,264.10,186.13,163.83,252.18,101.49,118.76,183.36,68.08,26.52,161.00,247.96,263.02,22.93,292.61,45.03,150.65,155.92,283.66,224.63,8.58,260.76,249.62,156.12,297.76,69.72,232.13,24.95,185.32,260.06,268.66,138.30,14.22,156.09,13.97, ,22.55,194.49,56.46, ,74.16,188.65,195.13,161.55,15.93,267.97,224.79,281.08,55.94, ,212.03,71.29,226.93,99.60,243.73,160.03, ,196.41,74.09,259.17,11.62,282.51,251.09,216.22,270.39,227.49,184.18,99.00,147.61,276.53,136.57,129.06,62.81,224.68,117.01, ,128.63
55.05,110.05,24.44,232.74,269.71,180.77,59.45,38.00,34.24,88.86,136.08,229.64,99.84,278.56,139.08,142.65,215.41,156.48,294.92,236.45,49.67,155.02,174.93, ,209.17,150.27,36.12,5.63,125.27,176.23,211.25, ,105.38,204.31,138.70,51.08,163.85,192.36,209.87,211.89,276.46,121.54,148.05,58.09,272.24,221.96,41.51,32.82,104.23,108.74,136.35,18.06,260.57,19.07,277.72, ,254.18,263.25, ,110.22,236.66,194.98,163.66,64.00,83.37,133.61,111.15,51.93,270.16,39.64,182.93,220.20,271.54,287.89,154.01,42.90,180.57,249.29, ,13.29, ,181.51
149.85,44.29,121.87,214.28, ,97.21,223.88,150.41,109.74,40.98,171.48,88.42,80.94,283.72,73.36,275.74,91.30,191.97,90.28,207.37,210.11,130.66,126.44, ,236.18,61.93,281.14,232.44,274.51,74.21,138.45,44.48, , ,178.10,103.15,7.43,294.62,185.61,138.45,149.56,276.34,218.66,105.07,47.97,216.19,148.31,137.86,40.76,205.67,44.89, , ,63.77, ,249.37,202.79,276.18,92.40,196.08,292.74,97.85,263.36,220.63,57.89,58.76,19.09,47.62,281.01,91.68,164.28,105.64,157.11,44.49,269.49,299.38,287.74,34.55, ,255.18,75.16,27.86
87.69,125.50,286.50,207.29,89.72,71.16,105.45,201.27, ,141.83,84.70,151.56,80.67,74.43,243.98,77.64,230.73,147.36,69.63,253.62,162.52,106.30,7.40, ,62.35,62.41,166.44,268.24,272.66,60.11,81.04,100.07,133.87,250.26,252.83,133.82,185.59,94.27,43.18, ,105.53,187.88,1.73,190.44,52.52,47.52,108.54,175.03,84.53,161.70,11.05,98.56,70.35,93.30,177.51,100.71,282.14,205.25,68.46,271.28,123.20,195.95,269.47,143.17,129.20,18.74,189.64, ,259.99,232.57,129.15,35.95,61.56,17.45,93.01,16.71,236.35,109.94,4.99,11.26,10.11,77.74
 , ,289.64,146.67,100.99,1.63,88.01,161.48,108.62,218.61,168.48,160.85, ,165.84, , ,169.44,2.57,256.21,9.43,44.28,222.96,233.27,108.11,221.37,105.09,132.18,44.33,91.26, ,257.10, ,181.93,94.92,71.30, ,80.73,126.39,96.05,245.65,254.59,77.31,47.20,0.34,297.48,68.88,297.65,202.29,207.91, ,92.41,188.17,105.81,0.90,157.31,63.83,101.98,90.56,53.14,270.49,41.20,99.64,255.62, ,297.75,217.49,125.95,22.97,48.38,1.36,241.55,230.39,250.73,45.36,289.48,191.36,130.27,119.89,104.94,155.39,279.05,237.49
