Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24
252.24,166.33,21.78, ,42.69,249.22,28.93,160.07,83.64,254.52, ,122.60,268.77,291.46,182.66,299.31,245.81,164.87,51.45,164.12,229.34,179.02,14.42,80.89
142.64,47.17,107.27,199.45,134.17,139.99,64.27,248.94,90.85,122.21,0.46,72.11,271.81,150.61,10.12,78.88,227.04,175.02,295.83,110.34,265.38,146.82,89.63,39.72
209.57,22.78, ,94.89,120.07,290.44,56.13,185.18,148.97,83.91,7.07,293.62,123.76,283.90,33.58,193.13,289.23, ,199.26,31.73,23.38,29.53,133.87,14.87
100.44,126.67,33.18, ,170.25,221.30,262.21,233.81,168.94, ,105.78,113.71,161.39,215.25,266.78,142.39,91.88,7.76,226.55,203.60, ,12.41,65.35,80.07
129.96,222.20,54.80,154.07,205.90,107.56,257.94, , ,248.56,247.35,108.60,70.72,199.49,137.69, ,217.76,187.71,186.19,221.57,82.14,136.59,221.44,31.25
172.62,26.69,218.20,163.26,264.52,105.98,13.44,105.40,34.82,97.97,221.18,151.70,133.42,76.63,221.70,132.98,78.72,148.98,53.47,203.41,187.99,65.65,80.21,132.62
164.17, , ,250.12,88.68,176.03,138.40,273.17,192.05,131.05,48.80,53.27,202.53,261.60,142.68,139.24,156.84,205.87, ,155.99,177.43,256.64,77.94,15.91
246.42,180.37,116.60,40.72,267.43, ,235.61,72.21,99.94,78.25,121.92,161.81,44.44,159.17,179.28,103.08,159.97,108.98,287.48,188.14,141.31,86.69,294.76,151.76
87.96,100.51,97.02,112.41,63.67,228.63,185.13,171.55,202.60, ,190.08,80.65,295.71,33.06,245.51,224.39, , ,140.73,251.42,2.21,166.72,21.51,158.92
281.22,255.83,96.52, ,177.17,111.86, ,184.49,17.32, ,297.25,254.37,214.70,189.27,224.14,29.10,21.98,15.02, ,276.76,184.08,199.68, ,27.60
89.26,119.04,214.68,161.43,3.35,226.47,83.72,55.67,184.40,195.15,3.65, ,26.16, ,225.85,173.88,195.47, ,14.51,269.16,22.72,134.15,64.67, 
 ,82.44,99.68,190.53,163.74,175.30,241.22,115.75,18.28,230.45,123.68,142.70,75.77,231.05,264.27,236.69,211.00,142.21,179.22,9.79,156.57,232.86,29.49,132.78
117.81,29.18,8.20,34.34,37.30,293.90,261.12,148.39,249.71,182.80,23.34, , ,77.68,277.71,153.37,154.93, ,184.10,181.92,247.01,93.28,259.79,173.52
243.23, ,233.84, ,257.18,140.92,198.72,114.79,99.04,160.81,98.99,282.89,100.90,246.80,142.31,289.01, ,232.24, ,166.08,206.09,110.96,260.34,292.68
15.56,0.41, ,99.41,144.83,22.19, , ,217.04,205.38,30.67, ,267.73,284.25, ,95.20,87.30,213.50,120.45, ,296.82,262.26,11.98,240.30
 ,156.67,3.39,236.60,199.66,1.79,215.18,30.32,96.42,115.27,280.05,15.14,232.54, ,150.66,147.72,280.97,247.63,220.79,221.32,209.33,256.63,67.44,143.01
228.66,193.10,240.68,253.72,61.36,188.73,30.27,2.98,253.86,295.95,260.28,129.50,69.52,282.31,218.37,214.78,85.95,85.62,236.70,110.21,175.35,210.07,35.39,216.86
163.66,163.90,130.08,293.55,79.54,36.57,101.18,144.95,59.23, ,295.93,23.98,145.25, , , , , ,47.56,180.54, ,10.63,98.26,284.41
246.80,175.31, ,62.45,57.83,253.31,0.20,172.98,151.35,81.42,191.57,249.23,40.44,82.74,152.21,229.72,239.77,101.65,39.31, ,97.14,48.60,140.51,297.85
147.24,245.05,113.27,64.93, ,118.87,59.78, ,289.49,200.88,299.06,240.84,134.09,3.47, ,143.98,160.70,25.82, ,141.51,26.68,81.06,25.31,200.92
10.30,193.81,91.94,249.97,56.03,70.76,266.75,203.48,94.30,171.14,163.73,72.37,219.10,31.55,202.62,240.80,122.89,124.09,27.49,247.61,158.11,143.02,251.97,270.19
257.57,222.97,153.98, ,73.08,43.27,51.38,258.29,98.63,88.39, ,162.44,203.91, ,46.92,231.41,115.60,50.99,200.64,110.91,184.01,44.74,201.47, 
159.76,1.66, ,15.12, ,276.20,31.80,23.88,187.04,292.82,168.29,65.36,60.65,224.59,6.07,146.11,54.90,162.60,258.54, ,31.60,47.88,54.44,32.44
190.57,224.47,18.02,120.64,234.87,283.19,88.04,25.63,189.97,52.83,290.04,18.22,86.88,30.19,69.62,72.98,212.36, ,230.38,136.11,106.54,272.17,6.13,11.68
297.21, ,243.74,13.44,54.86,28.06,241.65,147.68, ,60.04,73.34,183.75,279.41,127.54,276.35,58.82,30.04,31.21, ,64.43,261.74,92.99,204.34,87.48
49.27, ,61.35,102.49,128.14,235.40,33.48,89.35,199.78,148.34, ,148.12,91.30,114.70,99.65,218.93,71.05,32.48,29.55,285.61, ,67.50,34.99, 
124.35,21.58,41.63,42.36,247.97, ,62.67,99.26,236.88,152.76,18.88,234.62,21.48,49.36,119.33,189.97,208.70,262.71,124.89,194.80,163.24,14.24,46.41,7.61
99.89,188.37,196.24,88.82, ,138.18,151.60,196.67,131.24,55.44, ,270.71,119.45,206.94,59.86,247.19,236.65,227.84,165.85, ,254.66,280.29,48.51,15.37
 ,146.61,280.06,29.94, ,149.39,215.70,144.58,230.26,105.70,139.89,143.19,178.74,5.78,190.69, ,206.07,215.55,224.60,182.96,146.39,103.92,107.43,75.69
17.26,82.19, ,12.91,91.60,235.64,50.68,151.66,32.40,257.16,75.74,268.04,299.16,134.20,267.20,5.96,238.46,25.88,121.32,70.85,230.44,10.28,132.82,22.74
13.09,250.29,132.67,119.11,78.10,62.10,174.51,288.98,61.74, ,183.06,116.88,284.09,106.25,256.20,287.96,281.29,71.71,100.53,189.24,68.13,294.45,17.06,102.41
124.25,176.06,170.92,103.27, ,209.53,72.51,108.20,159.02,265.63,176.58,118.39,23.80,103.39,278.00,239.64,290.13,284.09,227.84,100.71, ,10.24,165.86,11.29
46.99,25.41,263.93,94.53,4.88,176.25,33.47,81.75,32.27,125.58,66.50,130.42,195.95,52.45,28.64,121.59,151.09,51.78,128.08, ,132.96,64.13,235.25,56.82
138.54,202.32,261.99,298.67,200.88,163.80,167.97,84.28,78.63,295.38,59.37,81.53, ,145.66, ,251.93,55.46,119.72,258.72,262.72,193.06,96.74,126.30,284.39
208.31,141.86,256.67,45.38,93.56,183.86,67.57,185.20,226.26,80.82,86.63,142.38,207.15,36.54,203.83,244.02,83.94,15.83,287.11,78.81,150.06,41.64,98.45,40.67
231.75,209.70,165.04,298.06,291.21,105.64,55.52,7.17,135.55,180.08,84.22,203.34,221.55,151.92,171.81,44.72,14.08,121.94,6.51, ,297.72,56.95,210.12,199.92
242.16,229.67,7.15, ,241.43,213.14,130.11,285.93,188.52,129.25,179.13,130.46,133.48, ,26.23,294.00,244.77,149.08, ,156.22,269.16,173.10,191.00,267.26
178.04,176.93,166.24,143.05,186.49,281.75,2.76,67.88,121.70,77.99,5.05,59.13,31.86,156.52,235.44, ,113.48,276.71,145.81,263.82,219.26,124.26,243.11,61.03
122.88, ,119.02,184.21,44.34,110.39, ,45.83,238.71,4.22,280.07,248.20,292.53, ,116.79, ,117.97,299.36,286.72,59.87,133.57,101.19,48.40, 
94.23,127.30,30.92,233.61,290.92,173.48,61.74,18.98,108.23,188.45,227.34, ,284.19,46.96,21.03,87.43,189.60,36.91,145.06, ,26.00,254.26,228.92,189.75
205.09,188.53,47.06,231.35,100.05,202.97,223.76,272.86,187.93,170.27,232.05,107.83, ,62.09,249.37, ,197.27,45.26,76.73,201.67, ,1.72,151.29,134.56
160.01,37.56,138.20,179.06,176.47,108.55,294.65,16.66,255.19,87.19,76.58,242.66,127.83,295.47,131.53,128.75,97.96,238.54,234.96,24.27,254.71,49.99,190.73,291.28
66.50,186.92,257.97,227.74,73.96,64.93,53.24,197.02,60.01,87.37,253.17,106.39, ,156.38, ,223.03,281.11,226.97,132.61,297.61, ,71.56,35.69,36.79
174.07,289.38,275.35,262.80,90.73, ,247.11,166.63,176.41,159.66,15.78,288.33,52.61,84.94,294.77,72.95,236.06,213.52,236.30,208.51,288.59,54.73,107.08,105.83
69.11,86.87,257.76,98.27,34.28, ,29.05,119.49,181.27,166.71,16.73,35.47,53.16,94.75,221.74, ,205.23, , ,170.11,67.30,28.32, ,74.86
96.80,83.82,274.79,105.03,15.10,31.54,255.16,57.12,142.40,82.13,212.00, ,229.95,66.11,243.12,33.13,14.51,157.58, ,108.11,193.80,238.12,191.47,51.64
70.18,100.41,121.66,226.56,242.37,285.51,11.22,233.77, ,161.25,210.30,50.66,257.34,246.03,65.35,234.32,209.49,114.36,250.02,288.37,69.14,154.92,67.68,203.55
275.87,95.22,128.34,194.09, ,140.12,85.10,202.69,188.92,213.41, ,40.18,150.49,295.56,79.11,63.55,215.90,47.45,225.60,157.00,261.47,259.80,261.86,132.52
128.15,274.32,144.63,17.98,123.83,0.53,76.78,185.59,103.51,3.81,108.83,148.79,37.56,0.12,47.82,60.33, ,34.64,140.84,272.83,172.97,136.49,63.15,261.49
4.09, ,33.19,220.45,73.65,290.58,257.43,206.42,214.37,52.41,43.46,142.06,274.52,15.91,191.58,11.92,220.57,7.06,209.80,135.75,185.52,57.23,164.73,160.71
 ,213.12,209.73,90.40,289.20,105.06,110.41,51.55,242.12,64.89,167.80,31.64,177.91,208.49,22.71,181.57,38.41,50.15,109.37,37.28,59.38,138.19,163.89,227.62
147.73,1.90,284.90,166.79,191.51,183.66,247.41,16.04,159.93,233.95, ,271.24,266.12,206.06,277.47,63.53,243.53,85.38,40.93, ,203.73, ,87.40,148.54
240.69,12.56, ,281.86,39.54,179.74,255.78,130.59, ,214.07,135.22,254.17, ,80.02,128.80,167.29,129.68,294.13,32.48,32.35,214.63,64.07,225.01,110.03
71.42,269.68,24.44, ,200.60, ,280.48,81.86,269.73, ,263.87, ,264.88,214.52,279.82,273.88,298.43,260.44,273.12,136.38, ,157.07,286.74,178.65
39.64,172.76,194.11,126.77,101.50,8.81,14.52,254.89,285.82,179.80,11.92,192.05, ,49.13,295.90,86.30,46.55,71.68,6.83,124.50,9.82,109.92, ,97.31
93.07,284.51,138.81,82.78,5.92,79.99,87.84,299.87, ,112.59,131.19,266.76,220.53,114.89,267.40,127.75,81.68,197.63,49.69,137.33,200.00,160.55,17.12,113.44
80.91,62.33,45.44,167.80,5.67,296.41,271.30,186.19,35.05,107.53,277.90,165.31,174.15,291.47,273.31,195.15,30.94,266.31, , ,42.36,116.80,265.32,162.94
141.08,235.35,282.74,193.48,91.14,173.90,258.89,187.52,201.42,111.53,294.85,1.84,90.35,75.98,206.73,207.19,136.91,296.42,55.78,267.70,257.53,229.54,288.81,70.47
35.53,57.95,280.10,67.60,178.43, ,85.16,33.32,219.42, , ,231.64,6.77,276.83,8.11, ,125.17,27.40,145.71,191.09,145.14,196.26,102.27,108.73
55.71,104.19,71.09,163.22,150.03,67.21,249.90, , ,224.17,235.78,248.33,195.69, ,91.95,187.82,225.77,170.06,176.79,238.55, ,28.94,206.64,168.49
56.61,231.61,167.05,50.66,294.25,208.85,38.31,267.62,251.67,22.71,217.01,57.69,89.19,107.14,182.78,152.36,279.69,220.16,251.35,262.11,217.18,25.40,196.87,108.14
 ,130.84,250.25,25.37,44.38,294.45,294.77,192.57,249.77,154.32,227.89,58.62,42.33,198.88,126.46,105.95,225.14,242.68,191.98,62.71,80.04, ,74.82,169.14
277.00,163.29,73.57,132.13,30.77,145.94,188.18,134.53,262.98,105.86,263.31,201.09, ,258.24, ,285.48,237.75,191.05,35.99,89.48,211.68, ,57.61,118.03
283.37,58.44,87.08,18.01,97.90,14.94,93.91,41.62,181.46,30.34, ,294.96,208.22,192.24,264.25,256.10,24.44,118.14, ,14.96,185.38, ,200.32,108.74
210.62,25.49,278.37,254.82,79.97,179.96,1.10, ,257.20,37.73,22.06,218.90,214.02,149.87,4.59, ,148.63,285.62, ,263.99,99.03,262.08,117.28,263.17
 ,220.37,285.30,187.47,33.78,16.19, ,245.05,93.22,291.27,268.26,166.93,47.50,169.58,228.04,243.87,248.36,111.58,176.75,1.24,260.24,295.12,0.08,240.94
222.81,116.02,97.61,123.33,248.92,154.69,279.76, ,228.12, ,41.89,106.20,145.68,268.86,164.73,80.97, ,3.77,178.25,135.50,18.17,110.11,135.29,290.84
55.23,223.85, ,90.61,3.99,107.60,77.10, ,158.06,4.00,115.89,56.68,43.44,231.99,85.92,140.62,1.12,295.73,130.83,15.59,260.56,279.60,28.98,175.18
29.93,48.88,61.42,97.21, ,29.19,266.34,99.05,97.59,38.83,125.73,38.16,255.97, ,189.38,229.26,206.07,243.73,105.02,60.52,110.02,231.42,207.26,167.49
125.48,289.19,288.12,186.21,240.56,263.18,195.28,194.49, , ,56.31,143.38,158.88,57.76,21.84,118.19,215.39,51.72,91.71,189.17,25.69,154.17,259.67,181.32
150.81,292.39,289.63,23.95,89.16, ,111.00,57.00,262.11,52.04,92.37,55.86,117.57, ,106.45,273.91, ,124.72,291.82,10.36,55.78,216.75,97.69,184.22
28.07,155.35,13.02,171.99,18.02,254.47, , , ,83.78, ,104.52,72.94,218.58,273.76,266.21,163.07,226.13,296.76, ,9.78,143.23,47.23,33.13
228.80,206.10,232.03,117.10,20.14,241.61,205.75,115.08,240.01,203.33,262.27, ,272.05,245.63,61.25,83.84, ,216.71, ,148.74,136.91,224.40,113.37,274.65
188.35,130.31,155.17,116.13,63.85,154.01,138.90,87.90,266.22,139.45, ,288.19,251.83,51.93,273.33,295.38,13.54,293.95,102.39, ,242.38,71.72,28.75,11.65
133.36,211.77,201.13,261.01,278.52,80.58,94.30,294.63,219.32, ,86.72, ,70.25,226.56,83.01,52.59,71.96,72.52,158.77,10.42, ,288.94,82.89,35.04
282.82,207.98,244.86,268.92,64.95,78.72,38.55,259.52,105.99,205.73,4.24, ,124.01,89.07,264.57,99.79,60.09,161.22,37.62,253.69,220.88,268.49,247.79,87.32
108.51, ,198.22,166.10,61.04,87.42,12.35,225.58,224.78,126.81,55.95,163.23,203.61,214.22,20.25,118.73,25.25,87.97,288.55,221.82,1.86,175.38,173.93, 
98.71,106.61,175.25,171.48,292.95,35.20,264.20,143.08,277.19,153.42,183.15,122.48,109.35,108.12,5.66,103.37,28.38,112.63,299.32,24.61,228.06,16.62,11.75,257.70
54.30,189.59,218.60,170.19,143.80,151.52,187.40,253.84,164.86,119.41,50.58,156.45,203.83,170.89,32.77,204.51,239.71,24.53,106.16,186.27,173.03,99.43,292.67,276.20
119.73,21.71,239.63,148.95,51.23,59.03,148.44,171.08,57.63,246.46,90.33,113.76,170.51, ,163.17,299.99,86.19,42.42, ,220.58,178.69,125.30,55.82,201.26
61.89,122.50,122.68,141.07,176.19, ,199.97,116.08,195.46,295.56,158.77,158.46,209.48,89.52,186.09,48.45,125.15,235.49,130.02,274.56,24.50,216.10,160.89,124.43
