Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53
82,35,7,38,54,2,73,84,22,72, ,69,94,98,61,82,4,38,18,66,27,73,57,69,49,58,13,78,5,5,98, , ,99,30,82, , ,81,94,89,24,67,60,10,90,15,84, ,55,82, ,0
44,56,53, , ,14,81,73,63,79,1,49,8,41,15, ,16,16,9,59,8,74, ,56,24,57,74,99,45,56,31,94,87,19,56, ,17,56,69,49,65,0,43,69, ,76,93,94,11,34,76,91,8
86,31,49,91,74,62,30,39,52,15,19, ,54,5,48,54,22,42,5, ,24,3,23,17,41,95,17,83,69,53,89,70,11,42,31,1,47,44,39,34,32,37,44,97,62,29,39,51,27,11,51,15,18
70,21, ,53, , ,78, ,92,50,10,23,41, ,52,6,24, ,84,42,82,58,56,95,62, ,13, ,3, ,44,42,94,63,55,3,91,14, ,31,29,83,14,4,22,60,53,51,39,14,55,63,55
 ,27, ,57,61,61,39,2,75,70,7,78,21,7,56,65,42,39,3,53,38,41,81,38,5,85, ,63,51,68, ,38,24, ,64,67,17,99,73,14,15,22,56,55,97,77,36,4, ,86,80,63,68
41,69,15,34,9,44,14,42,42,57,12,49,84,49,70,43, ,12,35,64,8,66,37,96,74,17,17,56,90,65,56,81,2,98,92, ,1,27,24,50, , ,0,72,97,97,53,40,16,39,7,3, 
4,65,81,8,58,65,35,97,69,77,21,21,54, ,32,8, ,65,96,60,11,69, ,5,15,18,7,17, ,47,75,8,94,48,14, ,74,19,20,11,46,55,22,88,84,87, ,73,17,47,28,10,36
56,81,41,99,62,89, ,29,84,70,89,9, ,74,47,23,45,13, ,54,32,97,11,49,32,57, ,47,35,27,92,94,59,94,67,27,59,99,60,5,54,59,64,98,13,10, ,5,61, , ,14,60
3,16,70,64,92,32,68,48,53,79,76,81,30,71,42,61,42,5,15,84,73,58,57,9,82,71,73,97,51,49,1,41,88,55,16,13,57,31,79,26,29,21,50,7,87,97,68,32,85,61,28,91,46
1, ,28,93,10,76,5,17,77,31,38, ,26,2,24, ,70, ,97,72,75, ,72, ,78,42,31,72,87,48,9,69, ,12,63,2,28,20,84,2,71,53,89,84, ,44,5,37,88,87,46, ,90
83,99,4,79,60,87,35,87,16,31,10,59,93, ,36,30,31,8, ,10,21,11,21, , ,73,81,69,10,85,81,39,55,60,56,43,39,38, ,59,54,72, ,76,42, ,28,32,30,8,22,35,49
23,41,86,74,69,92,23,62,64,0,43,58,9,58,64,46,21,62,89,49, ,42,6,41, ,32,17,47, ,56,88,21,47,18,71,25,76,90, , ,74,12,38,13, , ,44,46,34,28,76,18,74
55, ,46, ,42,99,40,84,52,43, ,90,30,58, ,5,83,75,30,85,96,44,83,33, ,86,81,26, ,56,70,67, ,50,75,86,76,76,30,88,6,53,88,76,7,71, ,40,36,56,15, ,95
64, ,95,16,49,63,62,19,5,48,68,49,28, ,44, ,39,39,3,54,46,94,47,8,34,75,57,70,48,11,44,20,39, ,43,50,41,58, ,15,69,72,31,88,35,1,81,11,29,61,93,75,98
16,32,9,81,46,11,15,72,94,63,55,57,18,74,8,23,23,56,57,14,51,39,72,85, ,48,21,31,59,13,90, ,14,31,42,8,94,82,27,46,23,61,33,28,62, ,15,71,16, ,87,12,81
 ,63,84,86,41,58,31,67,24,88, ,59,95,54,66,79,74,10, ,28,18, ,77,31,76,64,22,34,36,24,13,58,37, ,48,51,48, ,48,56,86,15,87,55,20,52,82,36,60,73,22,42,69
46,60,98,36,97,51,46,44,17,66,68,27,17,61,49,72,48,99,79,59,59,30,82,5,2,53,98,12,30,76,5,76,82,0,11,39,71, ,53,82,49,6,51,32,18,43,11,74,75,65,61,77,97
10,94, ,43,11,98,96,17,9,14,89,78,46, ,72,34,41,21,37,80,38,81,41,55,57,58,60,39,84,1,49,26,81,28, ,8, ,53,50,32,38,76,51,35,37,46,77,75,87,52,75, ,77
77,90,94,10, ,7,8,26,63,84,68,45,16,71,26,70,73,56,26,55,24,45,5,78,45,10, ,56,40,42,81, ,47,34,57,55,71,75,12, ,90,34,59,77,18,71,51,98,99, ,3,49,80
38,38,36,41,61,45, ,62,91,89,85,96, ,85,66,47,56,2,36,22,24,72,94,32,36,11,51, , ,98,26,95,12,59,46,53,73,52,48,91,69, ,81, ,81, , ,43,45,36,90,73,92
6,5,10,5, ,75,82,37,38,17,62,64,16,92,96,5,36,29,81,1,19,13,33,84,70,90,82,34,77, ,74,17,92,28,70,89, ,65,34,18,70,20,21,15,1,82,66,32,31,93,91,8,37
12,73,91,19,4,15,96,13,31, ,64,48,38,76,75,81,34,22,46,85,71,74,23,4,23,19,29,73,34,12,71,59,48,72,48,54,84,11,20,10,0,32, ,5,31,11,26,99,54,5,29,3, 
32,56,77,97,95, ,9,92,35,8,23,90,19,64,17,25,64,49,80,45,55,29,75,18,33,24,66,65,85,22,18,63,88,15,41,84,45,50,76,80,58,99,71,78,64,88,4,28,38,84,74,93,14
