Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64
237.21,142.41, ,15.86,70.95, ,240.81, ,0.95,180.47,151.48,177.94,70.89,132.97,297.96,273.53,199.31,106.72,204.14, ,220.00,138.90,295.21,191.61,80.66,179.61,34.25,80.60, ,200.60,79.07,180.31,68.07,114.33,193.27,271.17, ,228.08,74.63,179.83,222.42,149.00,163.14,290.50,230.60,144.34,28.93,291.22,110.96,195.85,264.10,256.92,152.79,25.44, ,205.27,30.71, , ,28.90,123.24,156.49,116.98,102.03
258.63,270.84,79.40,293.57, ,218.89,98.52,73.93,149.59,237.52,10.23,44.24,193.49,92.62,133.86,68.62,18.66,264.57, ,221.16,25.30,260.58,233.20,245.74,54.50,77.52,223.56,114.09,41.26,252.31,264.82,76.48,31.00,223.12,60.24,120.83, ,81.41,212.16,203.10,40.82,129.68,39.98,224.76,18.71,151.97,20.54,103.05,195.31,202.22,191.95,95.27,25.46,234.84,163.00,289.78,254.36,14.49,96.90,194.00,294.97, ,15.52,245.24
105.59, ,80.03, ,175.30,268.79,181.23,214.98,196.18,273.52,133.30,112.54,161.85,67.52,70.35,118.09,77.64,92.55,3.71,217.80,7.84, , ,93.00,208.23,264.77,4.82,149.61,170.61,45.53,219.27,21.16,131.48,261.04,73.27,285.48,143.76,177.66,182.39,220.71,259.85,272.37,283.54,82.04,133.43,92.28,243.45,90.07,212.23,298.95,15.87,276.58,277.75,234.37,124.91,250.76,40.55, ,24.09,131.46,178.55,270.52,202.47,21.33
 ,72.44,281.69,260.79,247.93,112.51, ,237.42,49.45,77.92, ,102.01,203.06,196.25,250.77,64.55,148.83,30.91,18.30,9.58,270.86,217.63,139.81,20.79,65.76, ,38.34,57.11,17.62,252.28,288.13,244.25,228.62,53.75,4.51,159.46,37.21, , ,256.78,141.37,283.29,89.05,298.89,77.67,183.51,196.21,109.74,194.49, ,248.24,131.18,47.71,51.79,15.99,121.45,13.75,216.82,44.45,196.98,16.11,74.12,109.70,155.80
140.25,76.83, ,208.00,130.10,154.86,38.77,116.23,40.98,189.11,116.09,136.04,143.67,80.83,159.22,45.53,166.84,186.20, , ,58.39,116.98,146.97,240.48,128.04,34.84,220.53, ,56.56,288.38,238.46,265.31, ,74.68, ,260.89, ,55.09,37.59,58.84,27.81,147.75,280.79,173.01,33.52,257.88,6.10,129.61,29.27,107.85,226.54,64.84, ,119.93,194.16,218.18,19.81,226.46,198.30,48.68, ,66.40,33.72,121.47
256.72,257.98,254.70,35.74,198.26, ,57.60,131.47,165.19,193.29,26.95,200.70,191.21,142.03,76.98,70.18,171.25,198.28,175.62,271.56,281.06,34.64,250.36,14.44,17.40,207.20,299.32,119.98,151.16,139.25,176.54,168.44,130.36,283.61,149.52,201.15,119.05,169.24,101.90, ,119.29, ,163.64,200.05,281.27,245.62,279.34,29.95,169.95,214.50,166.29,108.73,194.59, ,63.83,105.11,182.16,38.91,88.04,174.37,110.90, , ,204.91
 ,52.69,121.67,162.96,31.20,55.39,199.49,289.63, ,237.13,88.12,53.16,105.68,247.82,153.10,148.00,104.56,110.70, ,77.89,218.99,248.62,34.89,32.98,44.79,261.64,284.82,176.79,43.36,108.81,257.42,107.94,178.47, , ,148.33,269.35,13.10,41.70,66.07,72.50,271.38,234.50,271.82,117.19, , ,275.11, ,83.05,178.37, ,170.80,218.59,216.01,58.11,279.68,32.39,235.05,86.32,259.97,280.84,73.31,3.15
69.48,131.48,181.42,272.52,280.51,192.37,122.80,154.22,74.66,154.65,190.38, ,150.35,160.10,72.41,230.66,126.03,252.32,115.13, ,167.35,247.59,261.17,10.20,172.86,2.00,94.57,268.48,42.73,133.93,40.00,200.89,16.51,113.16,249.73,156.96,261.95,176.80,174.94,38.50,271.86,75.32,232.88,40.26,11.39,245.84,64.66,212.23,281.33,181.64,222.68,48.14,143.15,107.75,111.94,65.88,186.75,150.23,185.00,95.24, ,41.08,129.34,160.01
169.14,92.15,108.08,148.35,273.90,100.46,185.23,57.86,133.47,119.27,84.06,48.34,74.44,228.22,277.23, ,146.37,206.44,81.70,94.92,11.08,174.87,53.44,60.92,255.05,141.74,44.04,256.48,225.94,252.71,23.13,244.00,14.57,116.08,187.63,170.68,79.21,201.78,167.14,155.13,222.68,30.33,148.37,291.20,32.71,204.02,284.84,225.34,298.47,95.68,252.41,84.82,11.92,164.28,249.30,1.24,16.27,138.69,18.38,238.94,73.79,106.93,290.99,58.05
73.69,175.56,120.10,57.72, ,222.00,196.28,12.31,257.67,206.95,62.27,61.25,110.64,220.29,195.21,227.33,26.25,60.23,201.15,110.07,267.58,44.24,273.47,232.12, ,139.07,162.70,114.70,286.55,196.35,214.12,83.15,175.16,159.02,65.36,37.58,147.21,142.77, ,199.32,274.25,82.26,162.45,142.40,244.71,34.87,75.44,183.68,58.95,33.25,113.24,24.04,60.08,54.53,136.81,14.33,253.61, ,116.06,281.17,299.47,289.44,217.93,283.68
